"Word","Valence_lang","Arousal_lang","Dominance_lang","Valence_fam","Arousal_fam","Dominance_fam","Valence_mean","Arousal_mean","Dominance_mean"
"what the fuck",0.228331654655078,0.457089908099614,0.422391985102848,0.222385364685,0.461324825070252,0.428970884352727,0.219374999501322,0.46249999897263,0.430999999046573
"everything",0.554506916223074,0.384194493732471,0.512220117146509,0.544333333330503,0.390999999997967,0.509666666664017,0.544333333333333,0.391,0.509666666666666
"everyone",0.554506916223074,0.384194493732471,0.512220117146509,0.544333333331176,0.39099999999845,0.509666666664647,0.544333333333333,0.391,0.509666666666666
"infrequently",0.426971871589226,0.309979578905527,0.224985178237882,0.426991532652711,0.309993852745528,0.224995538283045,0.426998950390975,0.309999237988764,0.224999446927329
"rarely",0.426971871589226,0.309979578905527,0.224985178237882,0.426991532652711,0.309993852745528,0.224995538283045,0.426998950390975,0.309999237988764,0.224999446927329
"seldom",0.426971871589226,0.309979578905527,0.224985178237882,0.426991532652711,0.309993852745528,0.224995538283045,0.426998950390975,0.309999237988764,0.224999446927329
"ornery",0.198,0.808,0.559,0.198,0.808,0.559,0.198,0.808,0.559
"little",0.426971871589226,0.309979578905527,0.224985178237882,0.426991532652711,0.309993852745528,0.224995538283045,0.426998950390975,0.309999237988764,0.224999446927329
"eye",0.46,0.402,0.333,0.46,0.402,0.333,0.46,0.402,0.333
"urinate",0.556351273014272,0.474686949007886,0.483297763363086,0.557440367650489,0.474578000437211,0.485801257686815,0.556736649965669,0.474580184908489,0.484318812173506
"tinkle",0.556351273014272,0.474686949007886,0.483297763363086,0.557440367650489,0.474578000437211,0.485801257686815,0.556736649965669,0.474580184908489,0.484318812173506
"wee",0.556351273014272,0.474686949007886,0.483297763363086,0.557440367650489,0.474578000437211,0.485801257686815,0.556736649965669,0.474580184908489,0.484318812173506
"event of death",0.031,0.72,0.472,0.031,0.72,0.472,0.031,0.72,0.472
"series",0.5754,0.3383,0.5296,0.579,0.337,0.529666666666667,0.579,0.337,0.529666666666667
"miscellany",0.725,0.311,0.588,0.725,0.311,0.588,0.725,0.311,0.588
"chorus",0.6872,0.3218,0.4784,0.683,0.32775,0.47975,0.683,0.32775,0.47975
"heavenly",0.817,0.36,0.731,0.817,0.36,0.731,0.817,0.36,0.731
"flange",0.427,0.367,0.386,0.427,0.367,0.386,0.427,0.367,0.386
"thin",0.660888888888889,0.499555555555556,0.584444444444444,0.585333333333333,0.475333333333333,0.544666666666667,0.585333333333333,0.475333333333333,0.544666666666667
"slim",0.660888888888889,0.499555555555556,0.584444444444444,0.585333333333333,0.475333333333333,0.544666666666667,0.585333333333333,0.475333333333333,0.544666666666667
"unluckily",0.104,0.494,0.281,0.104,0.494,0.281,0.104,0.494,0.281
"unhappily",0.104,0.494,0.281,0.104,0.494,0.281,0.104,0.494,0.281
"head cook",0.8505,0.4555,0.491,0.8505,0.4555,0.491,0.8505,0.4555,0.491
"head chef",0.8505,0.4555,0.491,0.8505,0.4555,0.491,0.8505,0.4555,0.491
"tart",0.405127073113759,0.577030288873316,0.480782994627423,0.426790196078431,0.565819607843137,0.468029411764706,0.480720261437908,0.540426143790849,0.435372549019608
"hello",0.228361419563865,0.457149139473183,0.422446659488402,0.222385367541748,0.46132483088201,0.428970889737843,0.219374999927446,0.462499999850525,0.430999999861283
"hi",0.228361419563865,0.457149139473183,0.422446659488402,0.222385367541748,0.46132483088201,0.428970889737843,0.219374999927446,0.462499999850525,0.430999999861283
"howdy",0.228361419563865,0.457149139473183,0.422446659488402,0.222385367541748,0.46132483088201,0.428970889737843,0.219374999927446,0.462499999850525,0.430999999861283
"so long",0.228361419563865,0.457149139473183,0.422446659488402,0.222385367541748,0.46132483088201,0.428970889737843,0.219374999927446,0.462499999850525,0.430999999861283
"you're welcome",0.701399999996593,0.400314285712327,0.561999999997269,0.717518518518394,0.398037037036967,0.552370370370275,0.737260869565217,0.389,0.538521739130434
"wondrous",0.918551675793815,0.70775858225212,0.786758574383464,0.909818118091847,0.715454494786886,0.790818120778203,0.91474991237629,0.709749930331968,0.799999916070029
"spark plug",0.602,0.221,0.344,0.602,0.221,0.344,0.602,0.221,0.344
"response",0.624,0.366,0.617,0.624,0.366,0.617,0.624,0.366,0.617
"present tense",0.802,0.4125,0.5585,0.802,0.4125,0.5585,0.802,0.4125,0.5585
"terminate",0.432285714285714,0.404428571428571,0.573190476190476,0.38025,0.4455,0.549,0.38025,0.4455,0.549
"overweightness",0.276,0.509,0.3975,0.276,0.509,0.3975,0.276,0.509,0.3975
"pre-obesity",0.276,0.509,0.3975,0.276,0.509,0.3975,0.276,0.509,0.3975
"peach tree",0.704,0.48,0.272,0.704,0.48,0.272,0.704,0.48,0.272
"prison",0.1738125,0.741125,0.54171875,0.175384615384615,0.739076923076923,0.540153846153846,0.203333333333333,0.702666666666667,0.512333333333333
"to",0.541173067360136,0.397150901259411,0.434541222302681,0.534112329499866,0.378846037264866,0.425031559240438,0.545414839797639,0.378852726250703,0.430331084879146
"in order to",0.598162338553871,0.390449395094327,0.464031768576048,0.570291254346082,0.380955558527235,0.446324685744851,0.588332669017323,0.372400991363892,0.455938576319689
"sofa",0.75,0.202,0.262,0.75,0.202,0.262,0.75,0.202,0.262
"settee",0.75,0.202,0.262,0.75,0.202,0.262,0.75,0.202,0.262
"plinth",0.635,0.298,0.553,0.635,0.298,0.553,0.635,0.298,0.553
"supporter",0.5385,0.5305,0.543,0.5385,0.5305,0.543,0.5385,0.5305,0.543
"wrong",0.116594202898551,0.601115942028986,0.269521739130435,0.123833333333333,0.597895833333333,0.2568125,0.100047619047619,0.608476190476191,0.298571428571429
"sick",0.481222222222222,0.289,0.347333333333333,0.3998,0.3658,0.3532,0.354,0.409,0.3565
"tinny",0.2709,0.5728,0.305,0.2709,0.5728,0.305,0.2709,0.5728,0.305
"pin",0.480238095238095,0.30975,0.310416666666667,0.4816,0.309466666666667,0.3116,0.471666666666667,0.327083333333333,0.38175
"periodic",0.5355,0.3365,0.524,0.5355,0.3365,0.524,0.5355,0.3365,0.524
"speedy",0.704,0.755,0.75,0.704,0.755,0.75,0.704,0.755,0.75
"swift",0.704,0.755,0.75,0.704,0.755,0.75,0.704,0.755,0.75
"smart",0.484049172797985,0.629560132986604,0.545592804265989,0.506753814456755,0.625544239053698,0.560017375769015,0.506753814456755,0.625544239053698,0.560017375769014
"witty",0.817923076923077,0.552653846153846,0.754634615384615,0.824526315789473,0.552157894736842,0.760210526315789,0.824526315789473,0.552157894736842,0.760210526315789
"sharp-witted",0.817923076923077,0.552653846153846,0.754634615384615,0.824526315789473,0.552157894736842,0.760210526315789,0.824526315789473,0.552157894736842,0.760210526315789
"quick-witted",0.817923076923077,0.552653846153846,0.754634615384615,0.824526315789473,0.552157894736842,0.760210526315789,0.824526315789473,0.552157894736842,0.760210526315789
"soothe",0.6045,0.2555,0.4145,0.667,0.205333333333333,0.42,0.6045,0.2555,0.4145
"serene",0.792,0.105,0.431,0.792,0.105,0.431,0.792,0.105,0.431
"unagitated",0.792,0.105,0.431,0.792,0.105,0.431,0.792,0.105,0.431
"tranquil",0.792,0.105,0.431,0.792,0.105,0.431,0.792,0.105,0.431
"relaxation",0.8675,0.2705,0.552,0.8675,0.2705,0.552,0.8675,0.2705,0.552
"uneventful",0.792,0.105,0.431,0.792,0.105,0.431,0.792,0.105,0.431
"wholly",0.71575,0.37975,0.69825,0.71575,0.37975,0.69825,0.71575,0.37975,0.69825
"roll up",0.76,0.583,0.628,0.76,0.583,0.628,0.76,0.583,0.628
"weakling",0.406719540229885,0.380048275862069,0.336006896551724,0.391845217391304,0.376502608695652,0.322634782608695,0.391845217391304,0.376502608695652,0.322634782608695
"wuss",0.345149425287356,0.404310344827586,0.272758620689655,0.32655652173913,0.399878260869565,0.256043478260869,0.32655652173913,0.399878260869565,0.256043478260869
"wimp",0.345149425287356,0.404310344827586,0.272758620689655,0.32655652173913,0.399878260869565,0.256043478260869,0.32655652173913,0.399878260869565,0.256043478260869
"sissy",0.345149425287356,0.404310344827586,0.272758620689655,0.32655652173913,0.399878260869565,0.256043478260869,0.32655652173913,0.399878260869565,0.256043478260869
"watch",0.672782608695652,0.264130434782609,0.48204347826087,0.660727272727273,0.255363636363636,0.465,0.657428571428571,0.288714285714286,0.511714285714286
"wrist watch",0.677,0.173,0.407,0.677,0.173,0.407,0.677,0.173,0.407
"wristwatch",0.677,0.173,0.407,0.677,0.173,0.407,0.677,0.173,0.407
"work well",0.614733333333333,0.409466666666667,0.528666666666667,0.638666666666667,0.419222222222222,0.599666666666667,0.625142857142857,0.402285714285714,0.554142857142857
"partner",0.791,0.393,0.6215,0.791,0.393,0.6215,0.791,0.393,0.6215
"gate",0.561,0.2465,0.4585,0.561,0.2465,0.4585,0.561,0.2465,0.4585
"possibly",0.602435897435897,0.320487179487179,0.492025641025641,0.602943820224719,0.319752808988764,0.492247191011236,0.60328125,0.31878125,0.4903125
"protect",0.709,0.554333333333333,0.716666666666667,0.709,0.554333333333333,0.716666666666667,0.709,0.554333333333333,0.716666666666667
"sheepmeat",0.604,0.206,0.161,0.604,0.206,0.161,0.604,0.206,0.161
"sheepflesh",0.604,0.206,0.161,0.604,0.206,0.161,0.604,0.206,0.161
"neck",0.448,0.380533333333333,0.336933333333333,0.471227272727273,0.350795454545455,0.339568181818182,0.46275,0.359375,0.338125
"intestine",0.4785,0.5935,0.4845,0.4785,0.5935,0.4845,0.4785,0.5935,0.4845
"red-haired",0.427,0.385,0.377,0.427,0.385,0.377,0.427,0.385,0.377
"redheaded",0.427,0.385,0.377,0.427,0.385,0.377,0.427,0.385,0.377
"reverse",0.355761904761905,0.482619047619048,0.414761904761905,0.42575,0.452875,0.427875,0.388,0.4655,0.416833333333333
"podge",0.33,0.4385,0.2975,0.33,0.4385,0.2975,0.33,0.4385,0.2975
"porker",0.33,0.4385,0.2975,0.33,0.4385,0.2975,0.33,0.4385,0.2975
"pudge",0.33,0.4385,0.2975,0.33,0.4385,0.2975,0.33,0.4385,0.2975
"salad dodger",0.33,0.4385,0.2975,0.33,0.4385,0.2975,0.33,0.4385,0.2975
"tub of lard",0.33,0.4385,0.2975,0.33,0.4385,0.2975,0.33,0.4385,0.2975
"pork",0.33,0.4385,0.2975,0.33,0.4385,0.2975,0.33,0.4385,0.2975
"splendid",0.8185,0.582,0.634,0.8185,0.582,0.634,0.8185,0.582,0.634
"fantabulous",0.8185,0.582,0.634,0.8185,0.582,0.634,0.8185,0.582,0.634
"first-class",0.8185,0.582,0.634,0.8185,0.582,0.634,0.8185,0.582,0.634
"quantity",0.406,0.231,0.471,0.406,0.231,0.471,0.406,0.231,0.471
"tool",0.512153846153846,0.407538461538462,0.612769230769231,0.520857142857143,0.430142857142857,0.620142857142857,0.508,0.39675,0.60925
"parturition",0.807631578947368,0.62,0.602171052631579,0.834230769230769,0.656923076923077,0.597692307692308,0.834230769230769,0.656923076923077,0.597692307692308
"kitchen",0.711175438596491,0.349824561403509,0.42280701754386,0.7106875,0.354375,0.423125,0.708833333333333,0.371666666666667,0.424333333333333
"iniquitous",0.021,0.83,0.529,0.021,0.83,0.529,0.021,0.83,0.529
"flagitious",0.021,0.83,0.529,0.021,0.83,0.529,0.021,0.83,0.529
"villainous",0.021,0.83,0.529,0.021,0.83,0.529,0.021,0.83,0.529
"time to come",0.841333333333333,0.612,0.770666666666667,0.841333333333333,0.612,0.770666666666667,0.804,0.5864,0.7584
"natal day",0.969,0.844,0.575,0.969,0.844,0.575,0.969,0.844,0.575
"date of birth",0.969,0.844,0.575,0.969,0.844,0.575,0.969,0.844,0.575
"skillet",0.526105263157895,0.215157894736842,0.327315789473684,0.526105263157895,0.215157894736842,0.327315789473684,0.526105263157895,0.215157894736842,0.327315789473684
"talent",0.815433333333333,0.601386666666667,0.83022,0.812773333333333,0.59928,0.828293333333333,0.812888888888889,0.595733333333333,0.829333333333333
"window",0.427,0.275,0.441,0.427,0.275,0.441,0.427,0.275,0.441
"presently",0.726738459799395,0.555741175140714,0.651989646768773,0.718990073590581,0.570992116857054,0.667657448957781,0.718997557513583,0.57099806027852,0.667664398562682
"visit",0.677181818181818,0.537727272727273,0.512818181818182,0.676,0.538333333333333,0.515333333333333,0.676,0.538333333333333,0.515333333333333
"shoe",0.673,0.35,0.406,0.673,0.35,0.406,0.673,0.35,0.406
"while",0.385,0.38,0.368,0.385,0.38,0.368,0.385,0.38,0.368
"suggestion",0.345,0.304,0.218,0.345,0.304,0.218,0.345,0.304,0.218
"slight trace",0.345,0.304,0.218,0.345,0.304,0.218,0.345,0.304,0.218
"deceased",0.052,0.454,0.194,0.052,0.454,0.194,0.052,0.454,0.194
"defunct",0.052,0.454,0.194,0.052,0.454,0.194,0.052,0.454,0.194
"departed",0.052,0.454,0.194,0.052,0.454,0.194,0.052,0.454,0.194
"teenager",0.755,0.6055,0.5385,0.755,0.6055,0.5385,0.755,0.6055,0.5385
"toe",0.321,0.264,0.291,0.321,0.264,0.291,0.321,0.264,0.291
"sensible",0.77,0.5,0.802,0.77,0.5,0.802,0.77,0.5,0.802
"uncomplicated",0.773938775510204,0.263489795918367,0.417714285714286,0.773021739130435,0.26295652173913,0.41754347826087,0.7191,0.2316,0.4075
"round",0.549159892052097,0.427025991391409,0.435696337848449,0.548500520043981,0.435312558814498,0.447064960922409,0.548509706395035,0.434628724948568,0.444576480563552
"touch",0.676571428571428,0.460571428571429,0.564714285714286,0.676571428571428,0.460571428571429,0.564714285714286,0.676571428571429,0.460571428571429,0.564714285714286
