WordWeight;FamilyWeight;LanguageWeight;from_word;to_word
51;17;49;throw;shoot
6;3;6;throw;drop (something)
7;5;7;throw;pour
4;4;4;throw;cut down
4;3;4;throw;pull
3;3;3;throw;eat
5;3;3;throw;put
3;3;3;throw;let go or set free
6;6;6;throw;divorce
3;3;3;throw;strike or beat
3;3;3;throw;hang up
5;4;5;throw;misplace
95;13;88;shake;shiver
7;6;7;shake;swing (movement)
8;5;8;shake;mix
44;10;40;shake;jog (something)
10;6;10;shake;swing (something)
3;3;3;shake;sway
15;8;13;flow;go
4;3;4;flow;blow (of wind)
37;12;34;flow;run
4;3;4;flow;come
15;9;14;flow;walk
22;7;21;flow;float
10;6;10;flow;pour
6;3;6;flow;dribble
4;4;4;flow;go down (descend)
3;3;3;flow;fly (move through air)
5;3;4;flow;swim
5;4;5;flow;sail
6;6;6;flow;leave
3;3;3;flow;retreat
36;12;36;flow;stream (flow continuously)
20;11;19;sink (descend);drowned
26;15;24;sink (descend);dive
3;3;3;sink (descend);enter
3;3;3;sink (descend);go down (descend)
8;6;8;sink (descend);set (heavenly bodies)
6;5;6;sink (descend);drown
3;3;3;float;go
93;17;86;float;swim
51;8;47;float;sail
3;3;3;float;bathe
5;3;5;float;fly (move through air)
3;3;3;swim;wash
3;3;3;swim;walk
3;3;3;swim;dig
70;6;64;swim;sail
30;13;30;swim;bathe
31;3;31;swim;row
3;3;3;swim;water
23;3;23;sail;row
18;3;18;sail;sailcloth
3;3;3;sail;walk
6;6;6;blow (of wind);shoot
7;5;7;blow (of wind);fly (move through air)
50;11;50;blow (of wind);blow (with mouth)
3;3;3;blow (of wind);dig
4;3;4;blow (of wind);give
15;10;15;blow (of wind);fan action
6;4;5;blow (of wind);breath or breathe
32;7;31;blow (of wind);wind
4;4;4;blow (of wind);whistle
5;3;5;blow (of wind);come
4;4;4;kneel;knee
18;6;18;crouch;sit
4;3;4;crouch;bend
10;8;10;jump;run
17;5;17;jump;dance
23;14;23;jump;fly (move through air)
3;3;3;jump;splash
4;4;4;jump;flee
4;3;4;kick;shoot
11;7;11;kick;strike or beat
9;4;9;kick;push
3;3;3;kick;pound
320;39;288;walk;go
18;7;16;walk;come
14;5;12;walk;run
6;4;6;walk;enter
8;5;8;walk;fly (move through air)
3;3;3;walk;give
4;3;4;walk;move (oneself)
6;4;6;walk;ride
30;10;30;walk;leave
9;5;9;walk;go down (descend)
7;5;7;walk;go up (ascend)
3;3;3;walk;hunt
14;8;14;walk;drive
8;3;8;walk;come back
3;3;3;walk;follow
3;3;3;walk;blood
4;3;4;walk;look for
5;3;5;walk;cut
12;5;11;walk;step (verb)
9;3;9;walk;walk (take a walk)
74;18;73;limp;lame
84;23;80;run;flee
4;3;4;run;fly (move through air)
4;3;3;run;come
6;3;5;run;hurry
6;6;6;run;retreat
3;3;3;run;give
3;3;3;run;ride
4;3;4;run;stream (flow continuously)
10;5;10;run;escape
3;3;3;run;sharp
27;14;25;go;come
90;29;86;go;leave
3;3;3;go;go out
7;3;7;go;last (endure)
13;4;13;go;ride
7;3;7;go;go down (descend)
7;5;7;go;go up (ascend)
8;4;8;go;enter
8;3;7;go;fly (move through air)
42;14;40;go;drive
10;5;10;go;come back
3;3;3;go;say
3;3;3;go;bone
5;3;5;go;let go or set free
4;3;4;go;lead (guide)
10;8;9;go;move (oneself)
8;3;8;go;step (verb)
8;3;8;go;pass
146;43;132;go up (ascend);climb
9;3;9;go up (ascend);crawl
12;8;12;go up (ascend);ride
3;3;3;go up (ascend);go out
4;4;4;go up (ascend);leave
4;4;4;go up (ascend);cut
4;4;4;go up (ascend);grow
8;6;7;go up (ascend);increase
13;4;13;go up (ascend);stand up
6;3;5;go up (ascend);pick up
17;9;17;climb;ride
8;4;8;climb;crawl or creep
6;4;6;climb;creep
5;4;5;go out;go down (descend)
30;15;28;go out;leave
5;5;5;go out;land (descend)
8;4;8;go out;be born
5;3;5;go out;enter
95;20;84;come;arrive
5;3;5;come;dog
18;10;17;come;come back
8;5;8;come;enter
3;3;3;come;see
4;3;4;come;go down (descend)
6;4;5;come;say
6;3;6;come;give
7;3;7;come;bring
8;6;6;come;approach
12;4;12;come;get
5;3;5;come;shoot
4;4;4;come;here
5;4;5;come;become
4;4;4;leave;let go or set free
6;4;6;leave;flee
3;3;3;leave;go down (descend)
7;5;6;leave;retreat
7;4;7;leave;disappear
4;3;4;leave;seize
5;4;5;leave;divide
4;3;4;leave;come back
6;4;6;leave;divorce
6;4;6;leave;separate
3;3;3;leave;inside
12;4;12;leave;drive
5;3;5;leave;pass
58;16;52;disappear;misplace
6;4;6;disappear;cease
3;3;3;disappear;be dead or die
3;3;3;disappear;hide (conceal)
4;4;4;disappear;flee
3;3;3;disappear;set (heavenly bodies)
48;13;44;flee;escape
38;24;34;flee;retreat
4;4;4;flee;hide (conceal)
52;23;49;follow;pursue
5;3;5;follow;look for
7;6;7;follow;obey
4;4;4;follow;arrive
7;4;7;follow;imitate
15;7;14;follow;hunt
15;10;14;arrive;approach
9;5;9;arrive;come back
20;6;19;arrive;get
5;5;5;arrive;land (descend)
4;4;4;arrive;find
5;4;5;arrive;be born
4;4;4;arrive;meet
4;4;4;arrive;understand
7;4;7;arrive;ripen
5;4;5;arrive;become
10;5;10;approach;near
3;3;3;enter;embrace
3;3;3;enter;dive
3;3;3;enter;put
3;3;3;enter;near
3;3;3;enter;father
5;5;5;enter;put on
3;3;3;enter;crawl or creep
14;9;13;enter;set (heavenly bodies)
3;3;3;enter;come back
50;15;49;carry;carry on shoulder
18;5;18;carry;get
6;4;6;carry;give
51;16;45;carry;carry in hand
57;15;56;carry;bring
34;7;34;carry;lead (guide)
36;12;34;carry;carry on head
20;9;19;carry;carry under arm
3;3;3;carry;put on
7;3;7;carry;send
7;6;7;carry;drive
27;6;26;carry;pick up
13;7;13;carry;hold
3;3;3;carry;own
54;16;54;carry;take
3;3;3;carry;choose
6;4;6;carry;hear
3;3;3;carry;dwell (live, reside)
3;3;3;carry;put
10;5;10;carry;seize
4;4;4;carry;borrow
14;3;14;carry;buy
4;3;4;carry;catch
4;3;4;carry;drag
19;11;17;bring;take
6;5;6;bring;carry in hand
14;5;9;bring;lead (guide)
