FamilyWeight;LanguageWeight;from_word;to_word;Valence.x;Arousal.x;Dominance.x;Valence.y;Arousal.y;Dominance.y
1;3;exhibition;exposure;0,698;0,59;0,531;0,57;0,83;0,63
1;3;display;exposure;0,677;0,325;0,4;0,57;0,83;0,63
1;2;exhibit;exposure;0,688;0,633;0,708;0,57;0,83;0,63
3;9;fabric;tissue;0,635;0,19;0,345;0,558;0,236;0,345
1;5;fabric;textile;0,635;0,19;0,345;0,604;0,235;0,395
1;4;family;house;0,968;0,383;0,643;0,587;0,135;0,533
1;4;dynasty;family;0,725;0,588;0,936;0,968;0,383;0,643
2;4;famine;hunger;0,163;0,679;0,31;0,083;0,554;0,328
2;2;estate;farm;0,653;0,385;0,647;0,781;0,327;0,297
1;3;fee;levy;0,354;0,386;0,556;0,438;0,42;0,491
2;3;fen;swamp;0,49;0,276;0,379;0,245;0,425;0,235
2;2;fen;moor;0,49;0,276;0,379;0,311;0,464;0,378
1;2;acre;array;0,583;0,387;0,423;0,521;0,396;0,568
1;2;acre;countryside;0,583;0,387;0,423;0,732;0,288;0,327
1;2;corporation;house;0,429;0,332;0,873;0,587;0,135;0,533
1;2;enterprise;house;0,76;0,392;0,754;0,587;0,135;0,533
1;2;company;house;0,906;0,425;0,798;0,587;0,135;0,533
1;2;house;venture;0,587;0,135;0,533;0,893;0,81;0,644
1;2;concern;house;0,25;0,734;0,463;0,587;0,135;0,533
1;2;house;partnership;0,587;0,135;0,533;0,786;0,387;0,545
1;2;corporation;establishment;0,429;0,332;0,873;0,69;0,398;0,631
1;2;enterprise;establishment;0,76;0,392;0,754;0,69;0,398;0,631
1;2;company;establishment;0,906;0,425;0,798;0,69;0,398;0,631
1;2;establishment;venture;0,69;0,398;0,631;0,893;0,81;0,644
1;2;concern;establishment;0,25;0,734;0,463;0,69;0,398;0,631
1;2;establishment;partnership;0,69;0,398;0,631;0,786;0,387;0,545
1;2;fishery;peach;0,574;0,503;0,519;0,704;0,48;0,272
1;2;blister;bubble;0,407;0,538;0,402;0,774;0,213;0,364
2;2;flow;stream;0,696;0,316;0,464;0,449;0,537;0,559
1;2;running;stream;0,73;0,858;0,442;0,449;0,537;0,559
1;3;bloom;meal;0,816;0,453;0,587;0,833;0,461;0,473
1;3;blossom;meal;0,792;0,275;0,309;0,833;0,461;0,473
1;3;bloom;flour;0,816;0,453;0,587;0,53;0,235;0,239
1;3;blossom;flour;0,792;0,275;0,309;0,53;0,235;0,239
5;10;fog;mist;0,51;0,213;0,26;0,375;0,194;0,221
1;3;fog;nebula;0,51;0,213;0,26;0,51;0,418;0,438
1;4;fog;haze;0,51;0,213;0,26;0,427;0,327;0,217
2;4;footpath;path;0,677;0,321;0,473;0,59;0,245;0,421
1;6;forecast;prediction;0,783;0,419;0,698;0,562;0,635;0,585
1;6;foresight;prediction;0,68;0,482;0,64;0,562;0,635;0,585
1;3;forecast;prognosis;0,783;0,419;0,698;0,5;0,506;0,629
1;3;foresight;prognosis;0,68;0,482;0,64;0,5;0,506;0,629
5;17;forest;wood;0,729;0,27;0,435;0,494;0,182;0,373
3;9;timber;wood;0,332;0,202;0,386;0,494;0,182;0,373
2;2;freeze;frost;0,191;0,406;0,481;0,449;0,455;0,385
1;2;flammable;fuel;0,216;0,8;0,715;0,445;0,528;0,644
1;2;combustible;fuel;0,386;0,65;0,75;0,445;0,528;0,644
3;9;fungus;mushroom;0,388;0,337;0,173;0,49;0,274;0,269
1;2;fungus;sponge;0,388;0,337;0,173;0,551;0,192;0,219
1;2;fur;skin;0,583;0,392;0,315;0,569;0,35;0,395
3;8;furnace;stove;0,429;0,529;0,5;0,466;0,391;0,405
4;13;furnace;oven;0,429;0,529;0,5;0,583;0,425;0,606
2;2;garden;orchard;0,77;0,23;0,456;0,76;0,269;0,333
1;2;genetic;genetics;0,562;0,288;0,726;0,552;0,46;0,574
1;2;germ;sprout;0,265;0,421;0,302;0,582;0,565;0,443
1;3;bud;grass;0,46;0,402;0,333;0,604;0,164;0,333
1;3;cannabis;grass;0,271;0,5;0,564;0,604;0,164;0,333
1;3;grass;pot;0,604;0,164;0,333;0,5;0,186;0,294
1;3;grass;reefer;0,604;0,164;0,333;0,5;0,453;0,421
1;2;gravel;stone;0,39;0,37;0,332;0,216;0,183;0,561
1;3;city;hail;0,847;0,531;0,508;0,459;0,627;0,411
2;4;hazard;risk;0,112;0,884;0,757;0,24;0,816;0,438
4;8;danger;hazard;0,115;0,923;0,673;0,112;0,884;0,757
2;13;heat;hot;0,534;0,612;0,433;0,49;0,74;0,573
2;13;heat;warmth;0,534;0,612;0,433;0,878;0,307;0,602
1;3;alight;land;0,667;0,657;0,605;0,582;0,26;0,616
2;2;highway;road;0,64;0,583;0,425;0,656;0,404;0,404
2;2;highway;route;0,64;0,583;0,425;0,583;0,353;0,518
2;8;horse;knight;0,635;0,51;0,529;0,78;0,441;0,835
1;2;gardening;horticulture;0,854;0,333;0,361;0,7;0,42;0,434
2;2;cyclone;hurricane;0,416;0,796;0,673;0,177;0,958;0,787
2;4;ascent;slope;0,755;0,627;0,833;0,347;0,438;0,279
2;4;ascent;precipice;0,755;0,627;0,833;0,198;0,784;0,396
1;2;slope;tendency;0,347;0,438;0,279;0,684;0,5;0,675
1;2;precipice;tendency;0,198;0,784;0,396;0,684;0,5;0,675
1;2;propensity;slope;0,521;0,462;0,66;0,347;0,438;0,279
1;2;precipice;propensity;0,198;0,784;0,396;0,521;0,462;0,66
1;2;predilection;slope;0,667;0,529;0,661;0,347;0,438;0,279
1;2;precipice;predilection;0,198;0,784;0,396;0,667;0,529;0,661
1;2;predisposition;slope;0,656;0,611;0,716;0,347;0,438;0,279
1;2;precipice;predisposition;0,198;0,784;0,396;0,656;0,611;0,716
1;2;penchant;slope;0,688;0,48;0,609;0,347;0,438;0,279
1;2;penchant;precipice;0,688;0,48;0,609;0,198;0,784;0,396
1;2;incorporation;registration;0,573;0,404;0,768;0,622;0,396;0,574
2;7;dweller;inhabitant;0,615;0,304;0,5;0,604;0,356;0,519
1;2;dweller;occupant;0,615;0,304;0,5;0,5;0,417;0,483
1;2;control;inspection;0,729;0,352;0,808;0,459;0,63;0,718
1;2;check;inspection;0,523;0,552;0,602;0,459;0,63;0,718
3;7;jurisprudence;law;0,36;0,425;0,764;0,74;0,59;0,815
2;12;lacquer;varnish;0,51;0,353;0,258;0,448;0,353;0,361
2;3;enamel;lacquer;0,594;0,28;0,306;0,51;0,353;0,258
2;2;exhausted;tired;0,123;0,423;0,202;0,125;0,317;0,191
2;2;exhausted;weary;0,123;0,423;0,202;0,194;0,281;0,202
2;3;bulb;lamp;0,562;0,208;0,3;0,51;0,26;0,309
2;3;bulb;light;0,562;0,208;0,3;0,771;0,32;0,519
2;3;lamp;lightbulb;0,51;0,26;0,309;0,573;0,255;0,302
2;3;light;lightbulb;0,771;0,32;0,519;0,573;0,255;0,302
1;3;acre;land;0,583;0,387;0,423;0,582;0,26;0,616
1;2;region;state;0,54;0,295;0,712;0,562;0,32;0,604
1;2;nation;region;0,594;0,443;0,821;0,54;0,295;0,712
1;2;state;territory;0,562;0,32;0,604;0,625;0,469;0,676
1;2;nation;territory;0,594;0,443;0,821;0,625;0,469;0,676
1;2;state;terrain;0,562;0,32;0,604;0,54;0,3;0,472
1;2;nation;terrain;0,594;0,443;0,821;0,54;0,3;0,472
1;3;act;law;0,656;0,704;0,735;0,74;0,59;0,815
1;3;deed;law;0,52;0,32;0,592;0,74;0,59;0,815
1;5;law;right;0,74;0,59;0,815;0,74;0,352;0,71
3;15;feeble;weak;0,157;0,28;0,109;0,18;0,241;0,045
1;2;leaf;letter;0,583;0,156;0,294;0,635;0,279;0,342
1;2;artifice;ruse;0,316;0,696;0,482;0,531;0,64;0,546
1;3;escape;leakage;0,367;0,765;0,448;0,188;0,731;0,528
1;2;flight;leakage;0,646;0,63;0,587;0,188;0,731;0,528
1;2;levy;royalty;0,438;0,42;0,491;0,832;0,571;0,833
2;5;levy;tax;0,438;0,42;0,491;0,26;0,481;0,534
1;2;bright;light;0,89;0,527;0,812;0,771;0,32;0,519
1;2;candle;light;0,602;0,221;0,344;0,771;0,32;0,519
1;4;illumination;lighting;0,76;0,588;0,537;0,765;0,44;0,75
1;3;file;lime;0,48;0,316;0,463;0,594;0,24;0,415
1;3;chalice;lime;0,633;0,286;0,529;0,594;0,24;0,415
1;2;coastal;littoral;0,604;0,37;0,51;0,551;0,387;0,452
1;4;deformity;malformation;0,16;0,569;0,241;0,083;0,602;0,357
5;13;human;person;0,767;0,314;0,605;0,646;0,363;0,596
5;13;human;individual;0,767;0,314;0,605;0,627;0,327;0,533
3;11;human;male;0,767;0,314;0,605;0,612;0,532;0,695
3;4;human;humanity;0,767;0,314;0,605;0,75;0,36;0,727
3;4;human;mankind;0,767;0,314;0,605;0,823;0,471;0,768
3;4;human;humankind;0,767;0,314;0,605;0,885;0,394;0,714
2;3;manpower;personnel;0,531;0,62;0,543;0,729;0,344;0,587
1;3;dung;manure;0,104;0,549;0,149;0,25;0,471;0,241
1;2;crisp;short;0,776;0,692;0,508;0,184;0,264;0,237
1;2;curt;short;0,245;0,61;0,452;0,184;0,264;0,237
1;2;short;terse;0,184;0,264;0,237;0,542;0,393;0,409
1;2;charter;map;0,677;0,382;0,518;0,561;0,229;0,463
1;2;map;menu;0,561;0,229;0,463;0,633;0,333;0,385
1;2;marker;tracer;0,5;0,333;0,605;0,573;0,327;0,645
1;8;measurement;measuring;0,622;0,418;0,491;0,448;0,337;0,529
1;2;gauge;measuring;0,438;0,646;0,518;0,448;0,337;0,529
1;6;flux;mix;0,473;0,472;0,451;0,542;0,49;0,472
1;6;coalesce;mix;0,479;0,434;0,529;0,542;0,49;0,472
1;4;model;pattern;0,607;0,388;0,723;0,479;0,422;0,664
2;4;landmark;monument;0,694;0,355;0,681;0,833;0,404;0,811
1;2;mountain;pot;0,698;0,408;0,649;0,5;0,186;0,294
1;2;batch;mountain;0,56;0,357;0,357;0,698;0,408;0,649
2;3;hill;mountain;0,615;0,353;0,518;0,698;0,408;0,649
1;4;mud;mush;0,333;0,26;0,185;0,5;0,311;0,125
1;3;noise;row;0,26;0,883;0,388;0,427;0,275;0,406
1;3;din;noise;0,44;0,417;0,398;0,26;0,883;0,388
5;12;nomenclature;terminology;0,5;0,222;0,575;0,612;0,284;0,566
1;2;nuisance;trouble;0,198;0,817;0,227;0,135;0,811;0,452
1;2;discomfort;nuisance;0,153;0,719;0,272;0,198;0,817;0,227
1;2;pain;trouble;0,012;0,765;0,395;0,135;0,811;0,452
1;2;discomfort;pain;0,153;0,719;0,272;0,012;0,765;0,395
1;2;annoyance;trouble;0,167;0,718;0,342;0,135;0,811;0,452
1;2;annoyance;discomfort;0,167;0,718;0,342;0,153;0,719;0,272
1;2;infliction;trouble;0,302;0,722;0,571;0,135;0,811;0,452
1;2;discomfort;infliction;0,153;0,719;0,272;0,302;0,722;0,571
2;7;hindrance;obstacle;0,135;0,545;0,473;0,204;0,708;0,336
2;7;hindrance;obstruction;0,135;0,545;0,473;0,125;0,742;0,491
2;4;desk;office;0,51;0,135;0,422;0,427;0,302;0,509
2;2;office;study;0,427;0,302;0,509;0,653;0,361;0,768
1;4;opinion;thought;0,594;0,482;0,638;0,78;0,315;0,571
1;4;stance;thought;0,604;0,333;0,609;0,78;0,315;0,571
2;4;belief;stance;0,896;0,375;0,656;0,604;0,333;0,609
2;4;stance;supposition;0,604;0,333;0,609;0,531;0,408;0,526
2;4;presumption;stance;0,375;0,596;0,518;0,604;0,333;0,609
1;2;persuasion;stance;0,612;0,67;0,537;0,604;0,333;0,609
1;2;overburden;overload;0,115;0,755;0,546;0,381;0,69;0,652
1;2;asset;characteristic;0,797;0,765;0,788;0,583;0,328;0,538
2;2;packaging;shell;0,604;0,393;0,549;0,615;0,408;0,391
2;2;shell;wrapping;0,615;0,408;0,391;0,46;0,368;0,462
1;2;map;paper;0,561;0,229;0,463;0,52;0,123;0,293
2;5;involvement;participation;0,76;0,62;0,696;0,781;0,7;0,702
1;4;penalty;sentence;0,062;0,49;0,24;0,625;0,265;0,548
1;3;match;phosphorus;0,599;0,573;0,5;0,429;0,539;0,37
2;14;photo;photography;0,729;0,327;0,431;0,63;0,431;0,36
1;2;physics;tangible;0,582;0,415;0,664;0,646;0,35;0,679
1;2;corporeal;physics;0,52;0,35;0,461;0,582;0,415;0,664
1;2;bodily;physics;0,594;0,481;0,557;0,582;0,415;0,664
1;2;plain;plane;0,5;0,167;0,311;0,51;0,356;0,386
2;2;programme;project;0,74;0,298;0,537;0,725;0,462;0,853
2;2;program;project;0,561;0,323;0,713;0,725;0,462;0,853
