FamilyWeight;LanguageWeight;from_word;to_word
2;2;civil safety;civilian protection
1;3;civil law;private law
1;2;classification;ranking
1;2;cleanser;detergent
1;3;climatic alteration;climatic change
1;3;climate change;climatic alteration
2;7;apparel;clothing
2;7;clothing;garments
2;7;clothes;clothing
2;7;apparel;clothes
2;7;clothes;garments
2;7;apparel;thing
2;7;garments;thing
2;7;clothing;things
2;7;apparel;things
2;7;garments;things
2;2;clothing;dress
2;2;apparel;dress
2;2;dress;garments
3;4;apparel;attire
3;4;attire;garments
3;3;clothing;garment
3;3;apparel;garment
3;3;garment;garments
1;15;coast;shore
1;15;seaside;shore
1;3;coating;siding
1;3;cladding;coating
1;2;coating;covering
1;3;cipher;code
1;2;coke;nose candy
1;2;cold;winter
1;7;chill;cold
1;4;colour;colourant
1;4;color;colourant
1;4;colour;tincture
1;4;color;tincture
2;4;colour;paint
2;4;color;paint
1;2;colour;suit
1;2;color;suit
2;5;exhaust gas;waste gas
2;2;exhaust gas;flue gas
2;2;public participation;social participation
2;3;soil subsidence;subsidence
1;2;compaction;compression
3;11;compensation;indemnity
1;4;compensation;compensation for damage
2;8;conifer;coniferous tree
1;3;conservation;preservation
1;2;advice;consultation
4;9;contamination;pollution
2;2;contamination;impurity
1;3;agreement;deal
1;5;chill;cool down
3;13;collaboration;cooperation
1;2;baker;bakery
1;3;coppice;thicket
1;3;coppice;copse
2;5;barrier reef;coral reef
2;9;cork;stopper
2;9;bottle stopper;cork
2;9;bottle cork;cork
2;3;cost;expenditure
4;21;cotton;cotton plant
1;5;coverage;covering
1;3;covering;market coverage
1;2;covering;justification
2;2;covering;coverlet
2;4;craft;trade
2;3;criminality;delinquency
2;3;crime;criminality
1;2;crop rotation;shifting cultivation
1;3;crossing place;crossroads
1;3;crossing place;intersection
1;3;crossing place;crossroad
1;2;crossing place;passage
1;2;crossing place;zebra crossing
1;2;crossing place;pedestrian crossing
1;2;crossing place;crosswalk
2;5;crude oil;petroleum
1;3;crop;cultivation
1;3;crop;tillage
2;2;breeding;cultivation
2;2;breeding;tillage
1;2;civilisation;culture
1;2;civilization;culture
3;10;feather;pen
2;2;feather;plumage
2;2;plumage;plume
2;2;feather;plume
2;2;feather;feathers
2;2;feathers;plumage
2;2;feathers;plume
1;2;cutting;logging
2;2;cyclone;tornado
4;4;cyclone;typhoon
1;2;dairy;dairy farm
2;5;dam;embankment dam
2;2;dam;weir
2;2;dam;lowhead dam
1;3;plug;power socket
1;3;plug;socket
1;3;power plug;power socket
1;3;power plug;socket
1;3;electrical plug;power socket
1;3;electrical plug;socket
2;4;dam;dyke
2;4;dam;levee
1;4;damage;detriment
1;4;damage;injury
1;2;damage;wound
2;2;damage;loss
1;2;damage;harm
1;3;debt;guilt
1;2;debt;liability
1;2;debt;indebtedness
1;2;debt;financial obligation
1;4;deciduous forest;deciduous wood
2;11;broad-leaved tree;deciduous tree
1;3;choice;conclusion
1;3;conclusion;pick
1;3;decontamination;disinfection
2;3;decree;order
1;2;decree;ordinance
2;2;decree;legal regulation
2;3;decree;regulation
2;2;decree;executive order
2;7;deep sea;open sea
2;3;deer;roe deer
2;3;deer;roe
2;3;deer;european roe deer
2;3;deer;western roe deer
4;4;deer;reindeer
4;4;caribou;deer
2;2;deforestation;woodland clearance
2;2;disforestation;woodland clearance
1;3;abasement;degradation
1;4;demand;wish
1;3;demand;question
1;4;demographic evolution;population trend
1;4;dermapteran;earwig
1;4;earwig;earwigs
1;4;desert;desolate
1;2;detection;survey
1;2;detection;enquiry
1;2;detection;investigation
1;2;deterrence;deterrent
1;2;dictionary;glossary
3;9;dictionary;vocabulary
3;5;dictionary;lexicon
1;2;didactic;didactics
1;2;diffusion;spread
1;2;diffusion;spreading
1;2;directive;order
1;2;command;directive
1;2;directive;instruction
1;2;directive;rule
2;6;ailment;disease
2;6;ailment;malady
2;6;ailment;disorder
2;6;ailment;illness
2;6;ailment;sickness
2;6;disease;malady
2;6;illness;malady
