WordWeight;FamilyWeight;LanguageWeight;from_word;to_word;Valence.x;Arousal.x;Dominance.x;Valence.y;Arousal.y;Dominance.y
30;13;30;light (radiation);light (color);0,771;0,32;0,519;0,771;0,32;0,519
18;11;17;light (radiation);fire;0,771;0,32;0,519;0,38;0,804;0,635
5;5;5;light (radiation);clear;0,771;0,32;0,519;0,857;0,327;0,573
11;7;10;light (radiation);sun;0,771;0,32;0,519;0,877;0,4;0,681
9;4;9;light (radiation);candle;0,771;0,32;0,519;0,602;0,221;0,344
4;3;4;light (radiation);easy;0,771;0,32;0,519;0,865;0,194;0,373
19;8;16;light (radiation);torch or lamp;0,771;0,32;0,519;0,5205;0,445;0,427
7;5;7;light (radiation);world;0,771;0,32;0,519;0,622;0,394;0,75
10;9;9;light (radiation);shine;0,771;0,32;0,519;0,844;0,539;0,741
3;3;3;light (radiation);hell;0,771;0,32;0,519;0,02;0,918;0,565
12;7;12;light (radiation);dawn;0,771;0,32;0,519;0,827;0,235;0,519
3;3;3;light (radiation);month;0,771;0,32;0,519;0,688;0,255;0,411
7;6;6;light (radiation);electricity;0,771;0,32;0,519;0,698;0,81;0,733
32;22;31;darkness;night;0,102;0,602;0,418;0,598;0,396;0,404
41;18;40;darkness;dark;0,102;0,602;0,418;0,198;0,398;0,426
13;8;12;darkness;obscure;0,102;0,602;0,418;0,37;0,551;0,278
6;6;6;darkness;evening;0,102;0,602;0,418;0,458;0,185;0,318
3;3;3;darkness;dirty;0,102;0,602;0,418;0,153;0,46;0,17
14;6;13;darkness;black;0,102;0,602;0,418;0,326;0,339;0,39
21;3;21;darkness;hit;0,102;0,602;0,418;0,235;0,931;0,679
10;6;10;shade;ghost;0,388;0,265;0,278;0,265;0,755;0,343
18;9;17;shade;soul;0,388;0,265;0,278;0,77;0,22;0,51
16;7;16;dew;fog;0,604;0,225;0,464;0,51;0,213;0,26
5;3;4;dew;ice;0,604;0,225;0,464;0,44;0,265;0,219
5;3;5;dew;snow;0,604;0,225;0,464;0,667;0,363;0,309
44;18;42;flame;fire;0,448;0,574;0,615;0,38;0,804;0,635
3;3;3;flame;torch or lamp;0,448;0,574;0,615;0,5205;0,445;0,427
5;3;5;flame;red;0,448;0,574;0,615;0,427;0,385;0,377
3;3;3;flame;hell;0,448;0,574;0,615;0,02;0,918;0,565
6;3;6;flame;tongue;0,448;0,574;0,615;0,542;0,432;0,482
3;3;3;flame;smoke (exhaust);0,448;0,574;0,615;0,188;0,5;0,391
5;4;5;ash;charcoal;0,26;0,21;0,207;0,302;0,186;0,342
7;6;7;ash;fire;0,26;0,21;0,207;0,38;0,804;0,635
12;4;12;ash;white;0,26;0,21;0,207;0,729;0,173;0,42
4;4;4;ash;cloud;0,26;0,21;0,207;0,74;0,133;0,342
