from_word;to_word;LanguageWeight;FamilyWeight;Valence.x;Arousal.x;Dominance.x;Valence.y;Arousal.y;Dominance.y
number;yield;2;1;0,406;0,231;0,471;0,719;0,578;0,618
harvest;yield;3;2;0,781;0,353;0,548;0,719;0,578;0,618
crop;yield;4;3;0,615;0,26;0,5;0,719;0,578;0,618
squall;yelp;2;1;0,191;0,833;0,655;0,417;0,709;0,431
cowardly;yellow;2;2;0,102;0,385;0,127;0,671;0,275;0,387
timid;yellow;2;2;0,327;0,276;0,132;0,671;0,275;0,387
call;yell;2;1;0,594;0,627;0,558;0,24;0,798;0,558
cry;yell;3;2;0,133;0,627;0,255;0,24;0,798;0,558
bawl;yell;3;2;0,385;0,88;0,561;0,24;0,798;0,558
miss;yearn;2;2;0,573;0,49;0,408;0,592;0,491;0,491
age;year;2;1;0,561;0,226;0,498;0,542;0,284;0,415
approval;yea;2;2;0,854;0,46;0,889;0,751;0,412;0,472
narration;yarn;2;1;0,622;0,408;0,551;0,51;0,265;0,233
narrative;yarn;3;2;0,58;0,303;0,443;0,51;0,265;0,233
story;yarn;4;2;0,653;0,406;0,704;0,51;0,265;0,233
tale;yarn;4;2;0,663;0,3;0,336;0,51;0,265;0,233
tug;yank;2;2;0,32;0,604;0,558;0,271;0,63;0,538
injustice;wrong;4;2;0,082;0,755;0,444;0,042;0,582;0,48
unfairness;wrong;2;2;0,17;0,817;0,336;0,042;0,582;0,48
unjust;wrong;2;2;0,115;0,625;0,278;0,042;0,582;0,48
unfair;wrong;3;2;0,173;0,472;0,19;0,042;0,582;0,48
false;wrong;6;2;0,12;0,404;0,24;0,042;0,582;0,48
crease;wrinkle;3;2;0,44;0,286;0,3;0,15;0,37;0,274
pucker;wrinkle;4;2;0,327;0,427;0,315;0,15;0,37;0,274
bad;wretched;4;2;0,125;0,625;0,373;0,135;0,56;0,19
ill;wretched;2;1;0,073;0,41;0,2;0,135;0,56;0,19
unlucky;wretched;2;2;0,073;0,395;0,198;0,135;0,56;0,19
unhappy;wretched;2;2;0,112;0,5;0,155;0,135;0,56;0,19
unfortunate;wretched;3;2;0,073;0,487;0,195;0,135;0,56;0,19
blanket;wrap;2;1;0,74;0,132;0,391;0,594;0,441;0,275
quilt;wrap;2;2;0,643;0,123;0,226;0,594;0,441;0,275
admire;worship;2;1;0,867;0,692;0,704;0,688;0,38;0,573
anxiety;worry;5;3;0,146;0,865;0,342;0,245;0,776;0,267
helix;worm;2;2;0,521;0,462;0,509;0,13;0,418;0,219
universe;world;3;2;0,694;0,454;0,839;0,622;0,394;0,75
shop;workshop;2;1;0,725;0,632;0,565;0,531;0,426;0,51
make;work;3;2;0,684;0,42;0,48;0,719;0,596;0,75
produce;work;2;2;0,908;0,737;0,836;0,719;0,596;0,75
do;work;3;2;0,67;0,548;0,536;0,719;0,596;0,75
perform;work;2;2;0,765;0,555;0,773;0,719;0,596;0,75
undertaking;work;2;1;0,667;0,53;0,696;0,719;0,596;0,75
operation;work;2;1;0,475;0,611;0,755;0,719;0,596;0,75
remarkable;wonderful;3;2;0,88;0,573;0,72;0,971;0,776;0,83
calamity;woe;2;1;0,122;0,795;0,343;0,34;0,606;0,204
disaster;woe;2;1;0,082;0,892;0,433;0,34;0,606;0,204
misfortune;woe;2;1;0,094;0,78;0,311;0,34;0,606;0,204
smart;witty;4;3;0,906;0,607;0,923;0,857;0,707;0,759
sharp;witty;2;2;0,459;0,585;0,585;0,857;0,707;0,759
oppose;withstand;2;2;0,431;0,8;0,473;0,37;0,548;0,571
counteract;withstand;2;2;0,378;0,542;0,688;0,37;0,548;0,571
vixen;witch;2;2;0,367;0,615;0,414;0,292;0,71;0,473
hag;witch;5;2;0,188;0,695;0,411;0,292;0,71;0,473
like;wish;2;1;0,719;0,353;0,446;0,771;0,583;0,647
way;wise;4;2;0,48;0,275;0,42;0,878;0,25;0,861
method;wise;3;2;0,64;0,275;0,698;0,878;0,25;0,861
flank;wing;4;3;0,448;0,458;0,443;0,562;0,255;0,389
vane;wing;4;2;0,561;0,28;0,231;0,562;0,255;0,389
sail;wing;2;2;0,615;0,22;0,325;0,562;0,255;0,389
meandering;winding;3;2;0,427;0,644;0,539;0,398;0,582;0,361
tortuous;winding;2;1;0,194;0,755;0,382;0,398;0,582;0,361
breeze;wind;2;2;0,837;0,284;0,37;0,531;0,404;0,578
prize;win;2;2;0,885;0,763;0,67;0,927;0,694;0,888
win;winning;3;2;0,927;0,694;0,888;0,955;0,712;0,972
loose;wide;2;2;0,573;0,312;0,365;0,571;0,312;0,472
roomy;wide;2;1;0,76;0,342;0,736;0,571;0,312;0,472
integral;whole;3;2;0,59;0,337;0,615;0,653;0,357;0,572
clean;white;3;2;0,827;0,17;0,5;0,729;0,173;0,42
rustle;whisper;3;2;0,333;0,538;0,394;0,49;0,225;0,265
turn;whirl;2;2;0,531;0,398;0,482;0,461;0,788;0,661
spin;whirl;2;2;0,551;0,422;0,345;0,461;0,788;0,661
bicycle;wheel;3;2;0,708;0,519;0,425;0,615;0,31;0,446
cycle;wheel;2;1;0,635;0,4;0,533;0,615;0,31;0,446
bike;wheel;3;2;0,708;0,5;0,333;0,615;0,31;0,446
round;wheel;3;2;0,552;0,434;0,311;0,615;0,31;0,446
moisture;wet;2;2;0,406;0,398;0,327;0,385;0,417;0,185
humidity;wet;2;2;0,464;0,373;0,367;0,385;0,417;0,185
greeting;welcome;3;2;0,854;0,556;0,51;0,898;0,555;0,664
salutation;welcome;2;2;0,878;0,417;0,5;0,898;0,555;0,664
hail;welcome;2;2;0,459;0,627;0,411;0,898;0,555;0,664
queer;weird;4;2;0,286;0,61;0,304;0,26;0,66;0,402
funny;weird;3;2;0,918;0,61;0,566;0,26;0,66;0,402
dike;weir;3;2;0,36;0,384;0,49;0,375;0,385;0,363
dam;weir;4;3;0,25;0,553;0,394;0,375;0,385;0,363
burden;weight;5;2;0,367;0,583;0,697;0,45;0,38;0,577
importance;weight;5;2;0,75;0,58;0,864;0,45;0,38;0,577
significance;weight;4;2;0,82;0,46;0,644;0,45;0,38;0,577
enormous;whopping;3;2;0,677;0,665;0,886;0,541;0,74;0,755
vast;whopping;2;2;0,52;0,535;0,545;0,541;0,74;0,755
huge;whopping;3;2;0,573;0,625;0,783;0,541;0,74;0,755
immense;whopping;2;2;0,755;0,75;0,811;0,541;0,74;0,755
marriage;wedding;3;2;0,844;0,684;0,75;0,875;0,802;0,642
air;weather;2;2;0,708;0,163;0,427;0,755;0,404;0,567
fatigue;weary;2;2;0,173;0,378;0,265;0,194;0,281;0,202
arm;weapon;3;2;0,552;0,285;0,469;0,054;0,84;0,831
poor;weak;3;2;0,156;0,358;0,087;0,18;0,241;0,045
delicate;weak;2;2;0,583;0,294;0,366;0,18;0,241;0,045
feeble;weak;6;3;0,157;0,28;0,109;0,18;0,241;0,045
approach;way;2;1;0,612;0,392;0,61;0,48;0,275;0,42
method;way;5;2;0,64;0,275;0,698;0,48;0,275;0,42
increase;wax;2;2;0,81;0,657;0,886;0,436;0,245;0,309
grow;wax;2;2;0,914;0,615;0,755;0,436;0,245;0,309
oscillate;waver;3;2;0,449;0,58;0,397;0,426;0,63;0,255
fluctuate;waver;2;1;0,285;0,617;0,48;0,426;0,63;0,255
swing;waver;2;2;0,602;0,51;0,481;0,426;0,63;0,255
cataract;waterfall;5;2;0,406;0,545;0,549;0,652;0,46;0,528
follow;watch;2;2;0,667;0,509;0,6;0,531;0,346;0,423
spy;watch;2;1;0,26;0,686;0,53;0,531;0,346;0,423
squander;waste;2;2;0,24;0,755;0,529;0,041;0,51;0,184
desert;waste;5;2;0,469;0,279;0,389;0,041;0,51;0,184
waste;wilderness;3;2;0,041;0,51;0,184;0,281;0,333;0,29
spend;waste;2;1;0,672;0,745;0,429;0,041;0,51;0,184
rinse;wash;3;2;0,663;0,168;0,409;0,635;0,377;0,297
soldier;warrior;4;2;0,392;0,708;0,768;0,458;0,863;0,915
guaranty;warrant;2;1;0,646;0,337;0,818;0,653;0,398;0,802
vouch;warrant;2;1;0,625;0,417;0,746;0,653;0,398;0,802
authorize;warrant;2;1;0,772;0,596;0,821;0,653;0,398;0,802
empower;warrant;2;1;0,694;0,779;0,891;0,653;0,398;0,802
command;warrant;2;2;0,427;0,79;0,849;0,653;0,398;0,802
authorization;warrant;4;2;0,521;0,567;0,817;0,653;0,398;0,802
like;want;2;1;0,719;0,353;0,446;0,671;0,642;0,598
poverty;want;4;2;0,071;0,519;0,183;0,671;0,642;0,598
reduction;wane;2;2;0,365;0,382;0,24;0,188;0,402;0,098
ramble;wander;2;1;0,615;0,464;0,44;0,427;0,417;0,33
border;wall;2;1;0,406;0,382;0,424;0,417;0,25;0,509
boundary;wall;2;1;0,561;0,427;0,518;0,417;0,25;0,509
frontier;wall;2;1;0,438;0,55;0,65;0,417;0,25;0,509
procession;walk;2;2;0,656;0,539;0,643;0,643;0,412;0,45
gait;walk;5;2;0,51;0,398;0,505;0,643;0,412;0,45
walk;walking;4;3;0,643;0,412;0,45;0,708;0,48;0,781
cause;wake;2;2;0,469;0,373;0,486;0,7;0,47;0,512
raise;wake;2;1;0,885;0,685;0,765;0,7;0,47;0,512
provoke;wake;2;1;0,3;0,871;0,735;0,7;0,47;0,512
rouse;wake;3;2;0,521;0,49;0,463;0,7;0,47;0,512
awake;wake;3;2;0,667;0,469;0,741;0,7;0,47;0,512
expectation;wait;3;2;0,771;0,69;0,707;0,224;0,167;0,264
wait;waiting;2;1;0,224;0,167;0,264;0,239;0,339;0,333
serve;wait;3;2;0,622;0,4;0,384;0,224;0,167;0,264
anticipate;wait;2;2;0,622;0,469;0,667;0,224;0,167;0,264
moan;wail;3;2;0,357;0,735;0,352;0,418;0,724;0,393
groan;wail;2;2;0,396;0,75;0,351;0,418;0,724;0,393
pay;wage;4;2;0,514;0,588;0,592;0,635;0,48;0,565
travel;voyage;5;2;0,931;0,689;0,535;0,816;0,714;0,58
elector;voter;6;3;0,479;0,52;0,766;0,612;0,538;0,754
vote;voting;3;2;0,582;0,5;0,649;0,615;0,602;0,768
ballot;vote;4;2;0,521;0,361;0,358;0,582;0,5;0,649
tome;volume;3;2;0,429;0,316;0,492;0,552;0,49;0,546
size;volume;3;2;0,531;0,336;0,569;0,552;0,49;0,546
extent;volume;2;1;0,646;0,451;0,602;0,552;0,49;0,546
nimble;volatile;2;2;0,833;0,729;0,769;0,323;0,786;0,565
variable;volatile;3;2;0,62;0,407;0,4;0,323;0,786;0,565
profession;vocation;5;3;0,68;0,529;0,786;0,833;0,426;0,686
occupation;vocation;4;2;0,562;0,47;0,692;0,833;0,426;0,686
trade;vocation;2;1;0,561;0,544;0,69;0,833;0,426;0,686
calling;vocation;4;2;0,646;0,59;0,483;0,833;0,426;0,686
live;vivid;3;2;0,88;0,673;0,676;0,698;0,627;0,667
living;vivid;3;2;0,865;0,608;0,727;0,698;0,627;0,667
alive;vivid;4;2;0,816;0,637;0,731;0,698;0,627;0,667
lively;vivid;5;2;0,847;0,81;0,642;0,698;0,627;0,667
distinct;vivid;2;1;0,542;0,578;0,509;0,698;0,627;0,667
clear;vivid;4;2;0,857;0,327;0,573;0,698;0,627;0,667
bright;vivid;4;2;0,89;0,527;0,812;0,698;0,627;0,667
live;vital;2;2;0,88;0,673;0,676;0,75;0,716;0,847
life;vital;2;1;0,918;0,615;0,824;0,75;0,716;0,847
imagine;visualize;2;1;0,759;0,48;0,587;0,635;0,431;0,537
fancy;visualize;2;1;0,854;0,673;0,534;0,635;0,431;0,537
optic;visual;4;3;0,663;0,384;0,594;0,813;0,462;0,462
prospect;vista;2;2;0,733;0,442;0,698;0,698;0,39;0,45
perspective;vista;3;2;0,688;0,47;0,704;0,698;0,39;0,45
outlook;vista;2;2;0,83;0,525;0,625;0,698;0,39;0,45
guest;visitor;4;2;0,719;0,49;0,558;0,646;0,48;0,461
visit;visitation;4;3;0,771;0,443;0,445;0,729;0,346;0,534
scene;vision;2;2;0,57;0,34;0,578;0,708;0,447;0,742
prospect;vision;3;2;0,733;0,442;0,698;0,708;0,447;0,742
actual;virtual;5;2;0,729;0,4;0,716;0,598;0,532;0,463
real;virtual;3;2;0,719;0,51;0,717;0,598;0,532;0,463
factual;virtual;3;2;0,656;0,44;0,545;0,598;0,532;0,463
chaste;virgin;2;1;0,408;0,248;0,453;0,622;0,433;0,462
severely;violently;2;2;0,219;0,673;0,7;0,12;0,97;0,527
intense;violent;3;2;0,592;0,774;0,679;0,112;0,918;0,616
severe;violent;3;1;0,164;0,735;0,635;0,112;0,918;0,616
fierce;violent;5;3;0,281;0,877;0,759;0,112;0,918;0,616
powerful;violent;2;1;0,865;0,83;0,991;0,112;0,918;0,616
strong;violent;2;1;0,912;0,745;0,895;0,112;0,918;0,616
hard;violent;2;1;0,302;0,708;0,616;0,112;0,918;0,616
breach;violation;4;2;0,177;0,745;0,423;0,083;0,892;0,413
infringement;violation;3;2;0,153;0,8;0,481;0,083;0,892;0,413
transgression;violation;3;2;0,158;0,89;0,611;0,083;0,892;0,413
encroach;violate;2;2;0,302;0,742;0,702;0,061;0,97;0,519
rape;violate;3;1;0,062;0,856;0,527;0,061;0,97;0,519
countryman;villager;2;1;0,673;0,441;0,789;0,71;0,387;0,509
country;village;2;2;0,698;0,394;0,693;0,684;0,367;0,336
hideous;vile;2;1;0,091;0,75;0,328;0,083;0,537;0,553
examine;view;2;1;0,615;0,623;0,786;0,896;0,292;0,555
approach;view;2;1;0,612;0,392;0,61;0,896;0,292;0,555
standpoint;view;3;2;0,585;0,388;0,652;0,896;0,292;0,555
prospect;view;5;2;0,733;0,442;0,698;0,896;0,292;0,555
evil;vicious;2;2;0,04;0,827;0,545;0,208;0,694;0,407
spiteful;vicious;3;2;0,073;0,71;0,33;0,208;0,694;0,407
vicious;wicked;3;2;0,208;0,694;0,407;0,138;0,8;0,627
erroneous;vicious;2;2;0,057;0,561;0,245;0,208;0,694;0,407
vicious;wrong;3;2;0,208;0,694;0,407;0,042;0,582;0,48
defect;vice;3;2;0,135;0,561;0,185;0,296;0,778;0,48
shake;vibrate;2;2;0,439;0,689;0,539;0,5;0,698;0,604
dish;vessel;2;2;0,552;0,255;0,264;0,49;0,398;0,538
rhyme;verse;3;2;0,667;0,249;0,481;0,667;0,269;0,336
acknowledge;verify;2;1;0,786;0,37;0,661;0,761;0,481;0,704
approve;verify;2;1;0,875;0,548;0,741;0,761;0,481;0,704
confirm;verify;2;1;0,802;0,439;0,806;0,761;0,481;0,704
ratify;verify;2;1;0,75;0,462;0,716;0,761;0,481;0,704
corroborate;verify;2;1;0,671;0,471;0,616;0,761;0,481;0,704
edge;verge;5;2;0,439;0,47;0,468;0,5;0,337;0,305
border;verge;5;2;0,406;0,382;0,424;0,5;0,337;0,305
brim;verge;5;3;0,469;0,333;0,33;0,5;0,337;0,305
brink;verge;5;3;0,375;0,413;0,356;0,5;0,337;0,305
opinion;verdict;2;2;0,594;0,482;0,638;0,325;0,689;0,8
mind;verdict;2;2;0,65;0,388;0,627;0,325;0,689;0,8
determination;verdict;2;2;0,776;0,725;0,795;0,325;0,689;0,8
resolution;verdict;4;3;0,78;0,55;0,745;0,325;0,689;0,8
oral;verbal;3;2;0,53;0,448;0,375;0,52;0,291;0,562
verbal;wordy;2;2;0,52;0,291;0,562;0,643;0,478;0,586
adventure;venture;3;2;0,917;0,857;0,71;0,893;0,81;0,644
use;velvet;2;1;0,438;0,358;0,409;0,663;0,226;0,304
profit;velvet;2;1;0,93;0,462;0,721;0,663;0,226;0,304
advantage;velvet;2;1;0,917;0,548;0,859;0,663;0,226;0,304
benefit;velvet;2;1;0,906;0,422;0,806;0,663;0,226;0,304
quickness;velocity;3;2;0,774;0,635;0,74;0,673;0,769;0,783
rapidity;velocity;4;3;0,667;0,798;0,806;0,673;0,769;0,783
nerve;vein;2;2;0,129;0,698;0,307;0,347;0,373;0,318
rib;vein;2;2;0,49;0,349;0,351;0,347;0,373;0,318
curtain;veil;3;2;0,698;0,278;0,304;0,5;0,235;0,415
screen;veil;2;1;0,67;0,3;0,417;0,5;0,235;0,415
vehicle;wagon;2;2;0,641;0,565;0,5;0,49;0,461;0,474
differ;vary;3;1;0,23;0,398;0,396;0,521;0,373;0,413
class;variety;2;1;0,656;0,314;0,522;0,714;0,472;0,598
sort;variety;4;2;0,673;0,389;0,674;0,714;0,472;0,598
grade;variety;2;1;0,698;0,36;0,6;0,714;0,472;0,598
brand;variety;2;1;0,562;0,284;0,547;0,714;0,472;0,598
kind;variety;4;2;0,918;0,24;0,618;0,714;0,472;0,598
plenty;variety;2;1;0,827;0,612;0,824;0,714;0,472;0,598
unstable;variable;2;2;0,167;0,587;0,15;0,62;0,407;0,4
fickle;variable;3;2;0,406;0,481;0,346;0,62;0,407;0,4
valuation;value;2;1;0,615;0,48;0,795;0,875;0,582;0,802
vale;valley;6;3;0,592;0,276;0,387;0,729;0,306;0,386
dale;valley;5;2;0,622;0,27;0,365;0,729;0,306;0,386
acknowledgement;validation;3;1;0,819;0,539;0,83;0,655;0,46;0,72
confirmation;validation;2;1;0,812;0,48;0,692;0,655;0,46;0,72
corroboration;validation;2;1;0,625;0,431;0,733;0,655;0,46;0,72
soundness;validity;2;1;0,78;0,377;0,893;0,646;0,47;0,706
acknowledge;validate;2;1;0,786;0,37;0,661;0,76;0,431;0,745
approve;validate;2;1;0,875;0,548;0,741;0,76;0,431;0,745
confirm;validate;2;1;0,802;0,439;0,806;0,76;0,431;0,745
ratify;validate;3;2;0,75;0,462;0,716;0,76;0,431;0,745
corroborate;validate;2;1;0,671;0,471;0,616;0,76;0,431;0,745
solid;valid;2;2;0,667;0,304;0,763;0,693;0,353;0,565
right;valid;2;1;0,74;0,352;0,71;0,693;0,353;0,565
correct;valid;2;1;0,857;0,306;0,723;0,693;0,353;0,565
farewell;vale;2;1;0,13;0,5;0,591;0,592;0,276;0,387
dale;vale;5;2;0,622;0,27;0,365;0,592;0,276;0,387
loose;vacant;4;2;0,573;0,312;0,365;0,578;0,22;0,464
unrestricted;vacant;2;2;0,698;0,458;0,644;0,578;0,22;0,464
perfect;utter;4;2;0,98;0,471;0,87;0,531;0,422;0,549
plain;usual;2;2;0,5;0,167;0,311;0,625;0,221;0,4
profitable;useful;3;2;0,87;0,392;0,736;0,833;0,411;0,726
beneficial;useful;6;3;0,82;0,579;0,703;0,833;0,411;0,726
useful;wholesome;2;1;0,833;0,411;0,726;0,888;0,423;0,754
helpful;useful;5;2;0,816;0,337;0,705;0,833;0,411;0,726
profit;use;3;2;0,93;0,462;0,721;0,438;0,358;0,409
advantage;use;2;1;0,917;0,548;0,859;0,438;0,358;0,409
benefit;use;4;2;0,906;0,422;0,806;0,438;0,358;0,409
good;use;2;2;0,938;0,368;0,534;0,438;0,358;0,409
demand;urge;3;2;0,292;0,673;0,5;0,418;0,68;0,653
claim;urge;2;1;0,255;0,76;0,473;0,418;0,68;0,653
drive;urge;3;2;0,625;0,689;0,713;0,418;0,68;0,653
mount;upstairs;2;1;0,5;0,292;0,348;0,663;0,408;0,645
renew;update;2;1;0,868;0,481;0,713;0,698;0,535;0,802
renovate;update;2;1;0,878;0,549;0,755;0,698;0,535;0,802
unusual;wonderful;2;1;0,429;0,433;0,361;0,971;0,776;0,83
remarkable;unusual;2;1;0,88;0,573;0,72;0,429;0,433;0,361
exceptional;unusual;4;2;0,806;0,74;0,933;0,429;0,433;0,361
singular;unusual;4;2;0,61;0,302;0,482;0,429;0,433;0,361
uncommon;unusual;4;2;0,459;0,429;0,373;0,429;0,433;0,361
illegitimate;unlawful;3;2;0,184;0,644;0,302;0,094;0,759;0,402
illegal;unlawful;4;2;0,061;0,787;0,337;0,094;0,759;0,402
illicit;unlawful;2;1;0,188;0,794;0,39;0,094;0,759;0,402
consolidate;unite;2;2;0,88;0,44;0,87;0,781;0,375;0,61
homogeneous;uniform;3;2;0,552;0,255;0,617;0,57;0,245;0,655
miserable;unhappy;5;2;0,062;0,461;0,188;0,112;0,5;0,155
sadly;unfortunately;2;2;0,047;0,255;0,216;0,104;0,494;0,281
disloyal;unfaithful;3;1;0,062;0,582;0,245;0,031;0,806;0,298
injustice;unfairness;3;2;0,082;0,755;0,444;0,17;0,817;0,336
unfair;unjust;2;2;0,173;0,472;0,19;0,115;0,625;0,278
incorrect;unfair;3;2;0,14;0,569;0,255;0,173;0,472;0,19
false;unfair;3;2;0,12;0,404;0,24;0,173;0,472;0,19
troublesome;uneasy;3;2;0,283;0,894;0,404;0,115;0,598;0,349
troubled;uneasy;2;2;0,167;0,627;0,385;0,115;0,598;0,349
intelligence;understanding;3;2;0,833;0,587;0,885;0,865;0,304;0,689
understanding;wit;3;2;0,865;0,304;0,689;0,844;0,484;0,775
comprehend;understand;4;3;0,875;0,365;0,689;0,76;0,374;0,643
fundamental;underlying;2;1;0,708;0,422;0,903;0,48;0,445;0,452
basic;underlying;2;1;0,643;0,102;0,395;0,48;0,445;0,452
uncertain;unreliable;2;1;0,363;0,5;0,164;0,108;0,48;0,24
insecure;uncertain;4;2;0,114;0,538;0,132;0,363;0,5;0,164
judge;umpire;5;2;0,51;0,604;0,857;0,52;0,592;0,755
primitive;ultimate;2;1;0,323;0,388;0,361;0,648;0,645;0,544
hind;ultimate;2;1;0,483;0,644;0,337;0,648;0,645;0,544
hideous;ugly;4;3;0,091;0,75;0,328;0,167;0,63;0,254
sample;type;2;1;0,521;0,187;0,452;0,5;0,284;0,364
specimen;type;2;1;0,531;0,444;0,568;0,5;0,284;0,364
model;type;3;1;0,607;0,388;0,723;0,5;0,284;0,364
example;type;2;1;0,542;0,337;0,51;0,5;0,284;0,364
rope;twine;3;2;0,385;0,28;0,345;0,521;0,38;0,337
cord;twine;4;2;0,388;0,378;0,358;0,521;0,38;0,337
string;twine;4;2;0,385;0,398;0,445;0,521;0,38;0,337
double;twin;3;1;0,677;0,378;0,569;0,688;0,363;0,453
twin;twofold;2;1;0,688;0,363;0,453;0,573;0,333;0,551
duplex;twin;3;1;0,592;0,452;0,467;0,688;0,363;0,453
dual;twin;3;1;0,573;0,33;0,384;0,688;0,363;0,453
pinch;tweak;3;2;0,34;0,632;0,339;0,44;0,462;0,452
nip;tweak;3;2;0,281;0,7;0,264;0,44;0,462;0,452
fight;tussle;4;2;0,531;0,868;0,809;0,333;0,919;0,691
struggle;tussle;2;2;0,365;0,82;0,741;0,333;0,919;0,691
exchange;turn;2;1;0,74;0,569;0,491;0,531;0,398;0,482
turn;twist;5;2;0,531;0,398;0,482;0,375;0,469;0,337
spin;turn;3;2;0,551;0,422;0,345;0,531;0,398;0,482
revolve;turn;2;2;0,592;0,546;0,402;0,531;0,398;0,482
rotate;turn;2;2;0,458;0,47;0,492;0,531;0,398;0,482
subway;tunnel;3;2;0,418;0,3;0,464;0,312;0,49;0,412
stomach;tummy;3;1;0,367;0,402;0,438;0,427;0,365;0,23
lug;tug;3;2;0,344;0,443;0,34;0,32;0,604;0,558
subway;tube;3;2;0,418;0,3;0,464;0,418;0,279;0,409
trial;try;2;1;0,438;0,663;0,612;0,604;0,551;0,556
experiment;try;4;2;0,479;0,72;0,675;0,604;0,551;0,556
strive;try;3;2;0,582;0,837;0,769;0,604;0,551;0,556
seek;try;4;2;0,622;0,429;0,482;0,604;0,551;0,556
hope;trust;3;2;0,927;0,317;0,739;0,888;0,547;0,741
case;trunk;4;2;0,427;0,275;0,441;0,271;0,167;0,404
beat;trump;2;2;0,279;0,647;0,492;0,64;0,716;0,898
sincere;true;3;2;0,918;0,265;0,725;0,896;0,436;0,777
true;veritable;3;2;0,896;0,436;0,777;0,794;0,33;0,759
reliable;true;2;2;0,912;0,241;0,875;0,896;0,436;0,777
truck;wagon;3;2;0,531;0,368;0,546;0,49;0,461;0,474
accident;trouble;2;1;0,125;0,908;0,336;0,135;0,811;0,452
damage;trouble;2;1;0,059;0,726;0,403;0,135;0,811;0,452
ailment;trouble;2;2;0,146;0,734;0,277;0,135;0,811;0,452
illness;trouble;2;2;0,098;0,717;0,211;0,135;0,811;0,452
malady;trouble;2;2;0,19;0,686;0,304;0,135;0,811;0,452
disease;trouble;2;2;0,041;0,539;0,333;0,135;0,811;0,452
throng;troop;2;1;0,48;0,81;0,706;0,375;0,696;0,75
trolley;truck;3;2;0,562;0,558;0,464;0,531;0,368;0,546
mistake;trip;3;2;0,208;0,585;0,102;0,875;0,643;0,538
swindle;trick;2;1;0,122;0,74;0,439;0,542;0,7;0,409
skill;trick;2;1;0,847;0,701;0,833;0,542;0,7;0,409
joke;trick;2;2;0,704;0,61;0,316;0,542;0,7;0,409
family;tribe;3;2;0,968;0,383;0,643;0,664;0,486;0,516
kin;tribe;3;1;0,543;0,441;0,457;0,664;0,486;0,516
triangle;triangular;2;2;0,562;0,269;0,352;0,43;0,32;0,397
direction;trend;4;2;0,719;0,33;0,684;0,625;0,458;0,706
tenor;trend;3;2;0,587;0,451;0,5;0,625;0,458;0,706
shake;tremble;3;2;0,439;0,689;0,539;0,177;0,878;0,388
shaking;tremble;2;2;0,275;0,849;0,255;0,177;0,878;0,388
tremble;trembling;2;2;0,177;0,878;0,388;0,177;0,824;0,324
tremble;tremor;3;2;0,177;0,878;0,388;0,104;0,833;0,455
behavior;treatment;2;1;0,594;0,442;0,813;0,663;0,386;0,62
amusement;treat;3;3;0,929;0,837;0,803;0,573;0,571;0,436
pleasure;treat;4;3;0,939;0,74;0,682;0,573;0,571;0,436
act;treat;2;1;0,656;0,704;0,735;0,573;0,571;0,436
gait;tread;3;2;0,51;0,398;0,505;0,51;0,52;0,426
traitorous;treacherous;3;2;0,073;0,745;0,412;0,112;0,815;0,402
journey;travel;6;2;0,91;0,702;0,625;0,931;0,689;0,535
travel;trip;5;2;0,931;0,689;0,535;0,875;0,643;0,538
travel;wander;3;2;0,931;0,689;0,535;0,427;0,417;0,33
junk;trash;3;2;0,115;0,481;0,118;0,163;0,541;0,154
frank;transparent;2;2;0,625;0,358;0,604;0,542;0,33;0,667
overt;transparent;2;2;0,708;0,326;0,607;0,542;0,33;0,667
distinct;transparent;3;2;0,542;0,578;0,509;0,542;0,33;0,667
clear;transparent;3;2;0,857;0,327;0,573;0,542;0,33;0,667
evident;transparent;2;2;0,633;0,444;0,664;0,542;0,33;0,667
breach;transgression;2;2;0,177;0,745;0,423;0,158;0,89;0,611
exchange;transform;2;1;0,74;0,569;0,491;0,735;0,667;0,696
modify;transform;3;2;0,458;0,584;0,625;0,735;0,667;0,696
coach;trainer;5;2;0,633;0,823;0,735;0,698;0,719;0,824
motion;traffic;2;1;0,667;0,538;0,657;0,323;0,559;0,518
moving;traffic;2;1;0,479;0,673;0,358;0,323;0,559;0,518
stretch;track;2;2;0,604;0,578;0,5;0,448;0,433;0,526
follow;track;3;2;0,667;0,509;0,6;0,448;0,433;0,526
follow;trace;2;1;0,667;0,509;0,6;0,573;0,346;0,483
imitate;trace;2;1;0,469;0,561;0,336;0,573;0,346;0,483
footprint;trace;4;3;0,592;0,292;0,336;0,573;0,346;0,483
borough;township;2;2;0,429;0,343;0,38;0,531;0,292;0,667
hooligan;tough;2;2;0,295;0,712;0,455;0,344;0,588;0,742
heavy;tough;3;2;0,25;0,454;0,6;0,344;0,588;0,742
severe;tough;4;2;0,164;0,735;0,635;0,344;0,588;0,742
grave;tough;2;2;0,153;0,385;0,386;0,344;0,588;0,742
firm;tough;3;2;0,635;0,38;0,728;0,344;0,588;0,742
resolute;tough;2;1;0,771;0,51;0,712;0,344;0,588;0,742
steady;tough;2;1;0,68;0,186;0,763;0,344;0,588;0,742
strong;tough;2;1;0,912;0,745;0,895;0,344;0,588;0,742
solid;tough;2;1;0,667;0,304;0,763;0,344;0,588;0,742
touch;touching;2;2;0,646;0,477;0,455;0,76;0,439;0,491
