from_word;to_word;LanguageWeight;FamilyWeight;Valence.x;Arousal.x;Dominance.x;Valence.y;Arousal.y;Dominance.y
ornament;ornamentation;2;2;0,561;0,373;0,441;0,663;0,471;0,472
decoration;ornament;9;3;0,878;0,553;0,526;0,561;0,373;0,441
direct;order;2;2;0,793;0,403;0,65;0,78;0,295;0,814
command;order;13;3;0,427;0,79;0,849;0,78;0,295;0,814
orator;speaker;7;3;0,667;0,375;0,682;0,604;0,66;0,723
count;number;3;2;0,594;0,389;0,492;0,406;0,231;0,471
nephew;niece;3;2;0,719;0,337;0,412;0,771;0,32;0,4
new;novel;14;3;0,917;0,49;0,582;0,702;0,352;0,439
net;network;13;4;0,441;0,288;0,417;0,531;0,337;0,466
empty;naked;2;2;0,188;0,183;0,081;0,323;0,885;0,288
cinema;movies;4;3;0,698;0,538;0,5;0,724;0,426;0,472
movie;movies;2;2;0,792;0,56;0,471;0,724;0,426;0,472
month;moon;7;3;0,688;0,255;0,411;0,673;0,233;0,547
money;silver;3;2;0,844;0,608;0,827;0,684;0,451;0,615
fault;miss;3;3;0,188;0,558;0,184;0,573;0,49;0,408
mercy;sympathy;4;3;0,719;0,229;0,5;0,827;0,497;0,634
drug;medicine;11;3;0,214;0,79;0,453;0,708;0,318;0,679
medicine;pharmaceutical;8;2;0,708;0,318;0,679;0,5;0,435;0,562
measure;measurement;9;3;0,51;0,375;0,365;0,622;0,418;0,491
grade;measure;2;2;0,698;0,36;0,6;0,51;0,375;0,365
measure;rank;2;2;0,51;0,375;0,365;0,531;0,38;0,686
measure;rate;3;3;0,51;0,375;0,365;0,521;0,297;0,407
affair;matter;16;3;0,52;0,459;0,657;0,487;0,353;0,562
business;matter;15;3;0,688;0,569;0,755;0,487;0,353;0,562
case;matter;14;3;0,427;0,275;0,441;0,487;0,353;0,562
bazaar;market;9;2;0,604;0,34;0,5;0,724;0,48;0,521
fair;market;10;3;0,812;0,557;0,643;0,724;0,48;0,521
mark;print;6;3;0,491;0,231;0,6;0,521;0,384;0,482
beat;mark;2;2;0,279;0,647;0,492;0,491;0,231;0,6
brand;mark;6;3;0,562;0,284;0,547;0,491;0,231;0,6
hit;mark;2;2;0,235;0,931;0,679;0,491;0,231;0,6
mansion;palace;5;4;0,847;0,49;0,717;0,878;0,51;0,804
male;masculine;11;3;0,612;0,532;0,695;0,653;0,54;0,773
engine;machine;15;3;0,615;0,644;0,676;0,51;0,5;0,707
deep;long;2;2;0,49;0,473;0,657;0,541;0,353;0,543
connection;link;5;3;0,729;0,56;0,655;0,427;0,264;0,491
hood;lid;6;2;0,357;0,459;0,306;0,49;0,189;0,255
cover;lid;11;4;0,365;0,24;0,471;0,49;0,189;0,255
leave;quit;11;3;0,375;0,315;0,295;0,469;0,559;0,488
leader;manager;4;3;0,833;0,582;0,926;0,625;0,549;0,897
language;tongue;17;3;0,677;0,337;0,704;0,542;0,432;0,482
earth;land;16;4;0,75;0,225;0,614;0,582;0,26;0,616
land;soil;16;3;0,582;0,26;0,616;0,35;0,18;0,356
kind;sort;15;4;0,918;0,24;0,618;0,673;0,389;0,674
destroy;kill;3;2;0,046;0,935;0,635;0,052;0,941;0,736
kill;murder;5;3;0,052;0,941;0,736;0,061;0,942;0,615
key;wrench;12;2;0,615;0,275;0,519;0,396;0,202;0,545
gladness;joy;13;3;0,896;0,67;0,643;0,98;0,824;0,794
journey;trip;15;3;0,91;0,702;0,625;0,875;0,643;0,538
journey;voyage;16;4;0,91;0,702;0,625;0,816;0,714;0,58
abuse;insult;11;3;0,071;0,873;0,469;0,085;0,831;0,389
instrument;tool;9;3;0,562;0,537;0,655;0,49;0,35;0,594
bug;insect;11;3;0,286;0,5;0,246;0,276;0,633;0,242
infidel;pagan;3;3;0,177;0,74;0,404;0,292;0,578;0,542
atheist;infidel;2;2;0,225;0,447;0,377;0,177;0,74;0,404
heathen;infidel;3;3;0,194;0,529;0,491;0,177;0,74;0,404
clock;hour;4;4;0,677;0,173;0,407;0,552;0,265;0,336
hour;watch;3;3;0,552;0,265;0,336;0,531;0,346;0,423
hour;time;11;2;0,552;0,265;0,336;0,604;0,288;0,609
festival;holiday;4;3;0,87;0,706;0,714;0,948;0,431;0,593
beat;hit;11;3;0,279;0,647;0,492;0,235;0,931;0,679
highway;road;3;3;0,64;0,583;0,425;0,656;0,404;0,404
highway;way;2;2;0,64;0,583;0,425;0,48;0,275;0,42
aid;help;15;3;0,796;0,491;0,541;0,673;0,471;0,46
hare;rabbit;4;3;0,62;0,41;0,345;0,685;0,33;0,241
difficult;hard;14;3;0,235;0,7;0,508;0,302;0,708;0,616
guide;leader;8;3;0,688;0,315;0,62;0,833;0,582;0,926
great;major;3;3;0,958;0,665;0,81;0,684;0,538;0,874
beautiful;good;3;3;0,875;0,614;0,648;0,938;0,368;0,534
good;nice;15;3;0,938;0,368;0,534;0,93;0,442;0,65
fine;good;5;3;0,823;0,24;0,647;0,938;0,368;0,534
good;handsome;2;2;0,938;0,368;0,534;0,89;0,6;0,682
good;lovely;3;3;0,938;0,368;0,534;0,917;0,456;0,741
glass;mirror;3;3;0,49;0,404;0,322;0,677;0,31;0,438
chicken;fowl;13;3;0,594;0,306;0,394;0,51;0,388;0,364
forest;wood;6;3;0,729;0,27;0,435;0,494;0,182;0,373
food;meal;6;3;0,888;0,324;0,527;0,833;0,461;0,473
folly;stupidity;2;2;0,184;0,833;0,363;0,06;0,418;0,151
bloom;flower;16;3;0,816;0,453;0,587;0,802;0,189;0,254
fire;heat;5;3;0,38;0,804;0,635;0,534;0,612;0,433
finger;toe;4;2;0,321;0,264;0,291;0,406;0,221;0,293
female;feminine;11;3;0,857;0,52;0,625;0,802;0,52;0,394
fat;thick;12;3;0,198;0,353;0,237;0,449;0,433;0,596
enemy;opponent;4;3;0,135;0,794;0,591;0,08;0,741;0,716
door;gate;4;3;0,549;0,189;0,421;0,51;0,235;0,426
door;portal;4;3;0,549;0,189;0,421;0,583;0,347;0,547
ass;donkey;13;3;0,323;0,75;0,345;0,406;0,367;0,245
doctor;physician;18;4;0,7;0,531;0,861;0,583;0,49;0,843
different;various;7;4;0,612;0,394;0,473;0,5;0,296;0,342
desire;expect;2;2;0,896;0,692;0,647;0,469;0,327;0,377
desire;hope;2;2;0,896;0,692;0,647;0,927;0,317;0,739
achievement;deed;4;3;0,896;0,808;0,759;0,52;0,32;0,592
act;deed;7;4;0,656;0,704;0,735;0,52;0,32;0,592
action;deed;7;4;0,76;0,898;0,802;0,52;0,32;0,592
custom;habit;16;4;0,552;0,382;0,688;0,625;0,226;0,585
custom;way;13;3;0,552;0,382;0,688;0,48;0,275;0,42
country;state;5;3;0,698;0,394;0,693;0,562;0,32;0,604
account;count;4;3;0,531;0,347;0,472;0,594;0,389;0,492
correct;right;13;3;0,857;0,306;0,723;0,74;0,352;0,71
cord;rope;13;4;0,388;0,378;0,358;0,385;0,28;0,345
cord;string;13;3;0,388;0,378;0,358;0,385;0,398;0,445
congratulation;congratulations;2;2;0,948;0,78;0,717;0,96;0,755;0,719
cock;rooster;14;4;0,418;0,562;0,392;0,459;0,385;0,275
coast;seaside;11;3;0,719;0,396;0,458;0,887;0,52;0,508
coast;shore;14;3;0,719;0,396;0,458;0,542;0,304;0,204
cloth;fabric;5;3;0,51;0,19;0,287;0,635;0,19;0,345
circuit;cycle;4;3;0,586;0,461;0,707;0,635;0,4;0,533
chief;leader;13;3;0,52;0,544;0,869;0,833;0,582;0,926
breast;chest;12;3;0,753;0,429;0,5;0,52;0,429;0,481
check;cheque;14;3;0,523;0,552;0,602;0,698;0,529;0,66
cheap;inexpensive;12;4;0,612;0,471;0,272;0,694;0,414;0,26
change;exchange;5;3;0,625;0,575;0,606;0,74;0,569;0,491
certificate;testimony;10;4;0,786;0,377;0,746;0,615;0,578;0,643
caution;precaution;4;3;0,552;0,712;0,547;0,625;0,52;0,406
caution;vigilance;2;2;0,552;0,712;0,547;0,49;0,615;0,724
caution;warning;6;3;0,552;0,712;0,547;0,229;0,774;0,629
carry;take;5;3;0,635;0,38;0,5;0,828;0,537;0,348
buttock;buttocks;3;3;0,429;0,6;0,288;0,458;0,677;0,365
bra;brassiere;4;3;0,672;0,529;0,509;0,51;0,469;0,336
abscess;boil;3;2;0,154;0,451;0,349;0,417;0,684;0,433
big;important;4;2;0,802;0,588;0,812;0,827;0,63;0,836
big;serious;3;2;0,802;0,588;0,812;0,5;0,455;0,619
big;great;14;3;0,802;0,588;0,812;0,958;0,665;0,81
big;large;16;4;0,802;0,588;0,812;0,704;0,565;0,736
bend;turn;2;2;0,571;0,324;0,368;0,531;0,398;0,482
begin;initiate;4;3;0,677;0,569;0,763;0,719;0,48;0,553
begin;launch;2;2;0,677;0,569;0,763;0,684;0,814;0,598
ale;beer;15;4;0,53;0,45;0,358;0,592;0,654;0,5
association;party;5;3;0,745;0,5;0,817;0,948;0,84;0,547
art;artwork;3;2;0,812;0,36;0,603;0,896;0,368;0,679
arrange;order;6;3;0,74;0,49;0,571;0,78;0,295;0,814
animal;beast;14;4;0,521;0,51;0,513;0,214;0,78;0,732
airplane;plane;14;3;0,719;0,702;0,708;0,51;0,356;0,386
agreement;contract;6;3;0,76;0,44;0,736;0,594;0,412;0,636
act;arrangement;2;2;0,656;0,704;0,735;0,625;0,382;0,683
accident;fate;2;2;0,125;0,908;0,336;0,571;0,479;0,712
naught;zilch;5;2;0,344;0,176;0,161;0,409;0,451;0,361
nought;zilch;6;2;0,312;0,098;0,116;0,409;0,451;0,361
null;zilch;5;2;0,253;0,147;0,152;0,409;0,451;0,361
child;young;4;1;0,912;0,46;0,413;0,812;0,52;0,537
offspring;young;5;2;0,656;0,435;0,6;0,812;0,52;0,537
thither;yonder;4;1;0,5;0,27;0,316;0,615;0,33;0,318
cede;yield;7;1;0,275;0,327;0,402;0,719;0,578;0,618
relinquish;yield;7;1;0,265;0,606;0,286;0,719;0,578;0,618
court;yard;10;2;0,479;0,769;0,827;0,468;0,176;0,349
estate;yard;2;2;0,653;0,385;0,647;0,468;0,176;0,349
courtyard;yard;9;1;0,503;0,365;0,355;0,468;0,176;0,349
incorrect;wrong;9;2;0,14;0,569;0,255;0,042;0,582;0,48
desk;writing;2;1;0,51;0,135;0,422;0,694;0,475;0,645
note;write;3;1;0,594;0,163;0,416;0,612;0,387;0,534
author;writer;14;2;0,775;0,343;0,749;0,806;0,33;0,78
create;write;4;1;0,786;0,588;0,789;0,612;0,387;0,534
compose;write;4;1;0,639;0,432;0,694;0,612;0,387;0,534
injury;wound;13;3;0,049;0,769;0,287;0,15;0,717;0,31
hurt;wound;9;2;0,062;0,773;0,291;0,15;0,717;0,31
deserving;worthy;4;2;0,802;0,596;0,858;0,812;0,34;0,796
value;worth;13;3;0,875;0,582;0,802;0,872;0,51;0,889
exhausted;worn;5;1;0,123;0,423;0,202;0,35;0,482;0,189
caterpillar;worm;3;2;0,461;0,286;0,33;0,13;0,418;0,219
general;worldwide;5;1;0,834;0,484;0,853;0,79;0,462;0,851
universal;worldwide;5;1;0,802;0,417;0,833;0,79;0,462;0,851
calculate;work;4;1;0,49;0,452;0,44;0,719;0,596;0,75
count;work;4;1;0,594;0,389;0,492;0,719;0,596;0,75
figure;work;4;1;0,688;0,328;0,509;0,719;0,596;0,75
atelier;workshop;5;1;0,49;0,33;0,705;0,531;0,426;0,51
studio;workshop;6;1;0,677;0,265;0,62;0,531;0,426;0,51
hand;workman;9;1;0,542;0,314;0,434;0,729;0,618;0,726
laborer;workman;11;2;0,561;0,51;0,698;0,729;0,618;0,726
operative;workman;9;1;0,541;0,635;0,718;0,729;0,618;0,726
worker;workman;13;2;0,719;0,598;0,684;0,729;0,618;0,726
hand;working;5;1;0,542;0,314;0,434;0,74;0,585;0,576
laborer;working;5;1;0,561;0,51;0,698;0,74;0,585;0,576
operative;working;6;1;0,541;0,635;0,718;0,74;0,585;0,576
worker;working;5;1;0,719;0,598;0,684;0,74;0,585;0,576
working;workman;5;1;0,74;0,585;0,576;0,729;0,618;0,726
hand;worker;11;2;0,542;0,314;0,434;0,719;0,598;0,684
laborer;worker;13;3;0,561;0,51;0,698;0,719;0,598;0,684
operative;worker;11;2;0,541;0,635;0,718;0,719;0,598;0,684
studio;work;2;1;0,677;0,265;0,62;0,719;0,596;0,75
work;workshop;2;1;0,719;0,596;0,75;0,531;0,426;0,51
forest;woods;12;1;0,729;0,27;0,435;0,594;0,269;0,364
timber;wood;14;3;0,332;0,202;0,386;0,494;0,182;0,373
astonishment;wonder;6;2;0,68;0,718;0,519;0,939;0,771;0,765
surprise;wonder;4;1;0,875;0,875;0,562;0,939;0,771;0,765
uterus;womb;13;3;0,551;0,42;0,51;0,375;0,385;0,591
lively;witty;5;1;0,847;0,81;0,642;0,857;0,707;0,759
attend;witness;6;1;0,65;0,42;0,625;0,562;0,569;0,593
enchantment;witchcraft;5;3;0,816;0,775;0,647;0,183;0,779;0,555
magic;witchcraft;5;2;0,868;0,663;0,578;0,183;0,779;0,555
sorcery;witchcraft;7;3;0,279;0,74;0,64;0,183;0,779;0,555
will;wish;10;2;0,698;0,408;0,735;0,771;0,583;0,647
willingness;wish;9;1;0,786;0,5;0,729;0,771;0,583;0,647
want;wish;9;1;0,671;0,642;0,598;0,771;0,583;0,647
desire;wish;12;2;0,896;0,692;0,647;0,771;0,583;0,647
sage;wise;12;3;0,781;0,327;0,693;0,878;0,25;0,861
radio;wireless;13;2;0,573;0,402;0,358;0,635;0,444;0,537
exterminate;wipe;2;1;0,177;0,857;0,736;0,663;0,427;0,551
defeat;win;5;2;0,092;0,5;0,224;0,927;0,694;0,888
earn;win;9;1;0,865;0,769;0,817;0,927;0,694;0,888
gain;win;9;1;0,917;0,64;0,822;0,927;0,694;0,888
will;willingness;9;1;0,698;0,408;0,735;0,786;0,5;0,729
want;willingness;3;1;0,671;0,642;0,598;0,786;0,5;0,729
voluntary;willing;5;2;0,771;0,46;0,643;0,833;0,561;0,783
want;will;3;1;0,671;0,642;0,598;0,698;0,408;0,735
testament;will;7;2;0,594;0,42;0,806;0,698;0,408;0,735
savage;wild;10;2;0,204;0,931;0,605;0,312;0,922;0,75
extensive;wide;9;2;0,635;0,52;0,76;0,571;0,312;0,472
spacious;wide;8;1;0,88;0,365;0,557;0,571;0,312;0,472
vast;wide;9;2;0,52;0,535;0,545;0,571;0,312;0,472
hooker;whore;8;2;0,214;0,889;0,373;0,135;0,88;0,333
caprice;whim;9;3;0,333;0,64;0,43;0,378;0,68;0,467
platform;wharf;9;2;0,602;0,34;0,718;0,469;0,24;0,472
quay;wharf;12;2;0,542;0,209;0,442;0,469;0,24;0,472
girl;wench;14;2;0,74;0,572;0,443;0,469;0,519;0,352
lass;wench;14;2;0,656;0,536;0,433;0,469;0,519;0,352
cry;weep;8;2;0,133;0,627;0,255;0,053;0,621;0,164
carry;wear;11;1;0,635;0,38;0,5;0,312;0,37;0,255
affluent;wealthy;13;2;0,756;0,388;0,477;0,927;0,566;0,862
rich;wealthy;13;2;0,882;0,627;0,905;0,927;0,566;0,862
abundance;wealth;8;1;0,812;0,69;0,852;0,857;0,637;0,858
