WordWeight;FamilyWeight;LanguageWeight;from_word;to_word;Valence.x;Arousal.x;Dominance.x;Valence.y;Arousal.y;Dominance.y
4;3;4;light (radiation);easy;6,55;3,52;5,89;7,47;3,82;6,79
19;8;16;light (radiation);torch or lamp;6,55;3,52;5,89;5,12;3,915;5,95
7;5;7;light (radiation);world;6,55;3,52;5,89;6,46;4,55;5,12
10;9;9;light (radiation);shine;6,55;3,52;5,89;7,27;5,19;5,96
3;3;3;light (radiation);hell;6,55;3,52;5,89;2,55;6,26;3,47
12;7;12;light (radiation);dawn;6,55;3,52;5,89;6,74;3,1;4,98
3;3;3;light (radiation);month;6,55;3,52;5,89;5,78;3,64;5,05
7;6;6;light (radiation);electricity;6,55;3,52;5,89;6,15;4,3;4,68
32;22;31;darkness;night;4,71;4,08;4,82;6,68;3,57;5,22
41;18;40;darkness;dark;4,71;4,08;4,82;5,08;4,09;4,61
13;8;12;darkness;obscure;4,71;4,08;4,82;5,15;3,1;4,48
6;6;6;darkness;evening;4,71;4,08;4,82;7,09;3,1;5,22
3;3;3;darkness;dirty;4,71;4,08;4,82;3,17;5,05;5,05
14;6;13;darkness;black;4,71;4,08;4,82;5,4;3,58;5,48
21;3;21;darkness;hit;4,71;4,08;4,82;3,95;5,48;5,15
10;6;10;shade;ghost;5,91;2,91;6,25;4,23;5,7;4,47
18;9;17;shade;soul;5,91;2,91;6,25;6,61;4,3;6,56
16;7;16;dew;fog;4,79;3,04;5,67;5,77;3,67;4,05
5;3;4;dew;ice;4,79;3,04;5,67;6,06;3,3;4,89
5;3;5;dew;snow;4,79;3,04;5,67;6,78;4,57;5,62
44;18;42;flame;fire;5,9;6,6;4,64;4,32;6,05;4,57
3;3;3;flame;torch or lamp;5,9;6,6;4,64;5,12;3,915;5,95
5;3;5;flame;red;5,9;6,6;4,64;5,67;5,02;5,2
3;3;3;flame;hell;5,9;6,6;4,64;2,55;6,26;3,47
6;3;6;flame;tongue;5,9;6,6;4,64;6,29;4,25;6,32
3;3;3;flame;smoke (exhaust);5,9;6,6;4,64;3,44;5;4,17
7;5;7;burn (something);hot;3,73;5,4;3,9;5,73;4,76;5
51;20;51;burn (something);light (ignite);3,73;5,4;3,9;6,55;3,52;5,89
12;8;12;burn (something);arson;3,73;5,4;3,9;2,26;5,41;3,78
6;4;6;burn (something);shoot;3,73;5,4;3,9;3,5;6;4,67
3;3;3;burn (something);smoke (inhale);3,73;5,4;3,9;3,44;5;4,17
10;9;10;burn (something);roast or fry;3,73;5,4;3,9;5,95;5;6,44
6;4;6;burn (something);cook (something);3,73;5,4;3,9;7,12;4,33;6,25
7;6;7;burn (something);bake;3,73;5,4;3,9;7,2;5;6,83
37;13;33;extinguish;kill;4,65;4,91;5,47;1,81;6,81;3,61
9;4;9;extinguish;die;4,65;4,91;5,47;1,67;6,9;3,28
3;3;3;extinguish;destroy;4,65;4,91;5,47;2,67;5,16;4,3
5;5;5;extinguish;murder;4,65;4,91;5,47;1,48;6,24;3,38
3;3;3;extinguish;fart;4,65;4,91;5,47;4,05;4,74;3,69
26;4;24;move;walk;4,95;4,24;5,12;6,77;3,24;5,83
17;8;16;move;mix;4,95;4,24;5,12;5,71;2,86;5,56
25;5;23;move;go;4,95;4,24;5,12;6,32;4,86;5,33
4;3;4;move;come;4,95;4,24;5,12;5,64;3,57;5,94
6;4;4;move;drive;4,95;4,24;5,12;6,5;4,19;5,67
10;5;8;move;shake;4,95;4,24;5,12;4,59;5,2;6,37
3;3;3;move;ride;4,95;4,24;5,12;6,27;5,1;5,28
5;4;5;move;change;4,95;4,24;5,12;5,09;4,05;5,81
20;9;20;turn (something);roll;5,45;3,48;5,88;5,72;3,9;5,11
10;7;10;turn (something);twist (around);5,45;3,48;5,88;4,61;4,27;5,95
23;6;23;turn (something);change;5,45;3,48;5,88;5,09;4,05;5,81
4;3;4;turn (something);mix;5,45;3,48;5,88;5,71;2,86;5,56
3;3;3;turn (something);dig;5,45;3,48;5,88;5,28;3,67;4,67
13;3;13;turn (something);translate;5,45;3,48;5,88;5,67;2,75;5,55
24;5;24;roll;twist (around);5,72;3,9;5,11;4,61;4,27;5,95
19;7;16;roll;wrap;5,72;3,9;5,11;5,57;3,85;5,31
6;5;6;roll;fold;5,72;3,9;5,11;5,19;3;6,67
12;7;12;twist (around);wrap;4,61;4,27;5,95;5,57;3,85;5,31
22;13;21;twist (around);squeeze;4,61;4,27;5,95;4,85;3,91;6
26;14;25;twist (around);spin;4,61;4,27;5,95;4,9;3,68;4,92
5;5;5;twist (around);weave;4,61;4,27;5,95;5,41;3,1;6,36
15;10;14;twist (around);bend;4,61;4,27;5,95;5,75;4,4;6
7;4;7;twist (around);braid;4,61;4,27;5,95;5,78;3,9;5,6
3;3;3;twist (around);grind;4,61;4,27;5,95;5,2;3,43;4,58
5;4;5;twist (around);crooked;4,61;4,27;5,95;3,17;4,18;3,18
8;5;8;twist (around);fold;4,61;4,27;5,95;5,19;3;6,67
15;11;13;rise (move upwards);stand;5,73;5,3;7,16;5,27;3,1;5,89
15;6;15;rise (move upwards);grow;5,73;5,3;7,16;6,28;2,6;5,5
75;28;70;rise (move upwards);climb;5,73;5,3;7,16;5,62;3,95;5,61
3;3;3;rise (move upwards);land (descend);5,73;5,3;7,16;6,61;3,05;5,94
20;7;17;rise (move upwards);lift;5,73;5,3;7,16;5,32;4,9;6,84
5;3;5;rise (move upwards);fly (move through air);5,73;5,3;7,16;6,06;4,9;5,28
