Word;Valence_lang;Arousal_lang;Dominance_lang;Valence_fam;Arousal_fam;Dominance_fam;Valence_mean;Arousal_mean;Dominance_mean;Valence;Arousal;Dominance
bring;0;0;0;0;0;0;0;0;0;0,635;0,46;0,462
send;0;0;0;0;0;0;0;0;0;0,663;0,48;0,537
ride;0;0;0;0;0;0;0;0;0;0,806;0,465;0,472
push;0;0;0;0;0;0;0;0;0;0,417;0,608;0,524
road;0;0;0;0;0;0;0;0;0;0,656;0,404;0,404
axle;0;0;0;0;0;0;0;0;0;0,459;0,294;0,473
canoe;0;0;0;0;0;0;0;0;0;0,542;0,3;0,418
row;0;0;0;0;0;0;0;0;0;0,427;0,275;0,406
mast;0;0;0;0;0;0;0;0;0;0,542;0,39;0,58
port;0;0;0;0;0;0;0;0;0;0,55;0,409;0,513
have;0,645418429890917;0,393087202125174;0,565870646685473;0,643984615924539;0,391361171695705;0,554399994730135;0,660767493195933;0,407027059167592;0,573257718870707;NA;NA;NA
take;0,626426881616566;0,521183624611384;0,557405038128284;0,579045653779778;0,507439257308457;0,536075299524146;0,564660772058891;0,504524547984892;0,510516249466961;NA;NA;NA
seize;0;0;0;0;0;0;0;0;0;0,656;0,644;0,673
hold;0;0;0;0;0;0;0;0;0;0,448;0,29;0,364
get;0;0;0;0;0;0;0;0;0;0,74;0,594;0,667
keep;0;0;0;0;0;0;0;0;0;0,714;0,296;0,547
thing;0;0;0;0;0;0;0;0;0;0,449;0,222;0,26
give;0;0;0;0;0;0;0;0;0;0,75;0,346;0,5
give back;0,570396649312457;0,409010853199712;0,548572703937137;0,577766352650652;0,425276180300688;0,540859949553503;0,59099373160083;0,430786209194218;0,563371987317787;NA;NA;NA
destroy;0;0;0;0;0;0;0;0;0;0,046;0,935;0,635
damage or injure;0,0687714285714286;0,807485714285714;0,482428571428571;0,0765769230769231;0,791346153846154;0,469807692307692;0,0874;0,7264;0,408;NA;NA;NA
find;0,707442366566573;0,475665067596124;0,550265426612839;0,700374427236182;0,453821243720567;0,535071388812315;0,70159893352898;0,474558624113175;0,592166251436673;NA;NA;NA
misplace;0;0;0;0;0;0;0;0;0;0,229;0,461;0,191
money;0;0;0;0;0;0;0;0;0;0,844;0,608;0,827
rich;0;0;0;0;0;0;0;0;0;0,882;0,627;0,905
poor;0,220806451612903;0,515096774193548;0,271612903225806;0,203;0,4768;0,228533333333333;0,202666666666667;0,496666666666667;0,254666666666667;NA;NA;NA
beggar;0;0;0;0;0;0;0;0;0;0,24;0,402;0,116
stingy;0;0;0;0;0;0;0;0;0;0,094;0,548;0,283
lend;0;0;0;0;0;0;0;0;0;0,52;0,461;0,508
borrow;0;0;0;0;0;0;0;0;0;0,398;0,573;0,282
debt;0;0;0;0;0;0;0;0;0;0,204;0,598;0,336
pay;0;0;0;0;0;0;0;0;0;0,514;0,588;0,592
bill;0;0;0;0;0;0;0;0;0;0,396;0,402;0,535
hire or rent;0;0;0;0;0;0;0;0;0;0,688;0,558;0,556
earn;0;0;0;0;0;0;0;0;0;0,865;0,769;0,817
buy;0;0;0;0;0;0;0;0;0;0,771;0,769;0,612
sell;0;0;0;0;0;0;0;0;0;0,618;0,608;0,605
trade or barter;0;0;0;0;0;0;0;0;0;0,513;0,5515;0,643
market;0;0;0;0;0;0;0;0;0;0,724;0,48;0,521
price;0,472225806451613;0,538677419354839;0,585741935483871;0,521941176470588;0,522735294117647;0,592058823529412;0,489333333333333;0,567166666666667;0,606666666666667;NA;NA;NA
expensive;0;0;0;0;0;0;0;0;0;0,323;0,54;0,53
cheap;0;0;0;0;0;0;0;0;0;0,612;0,471;0,272
share;0;0;0;0;0;0;0;0;0;0,759;0,548;0,545
weigh;0;0;0;0;0;0;0;0;0;0,333;0,396;0,375
place (position);0;0;0;0;0;0;0;0;0;0,573;0,261;0,398
put;0;0;0;0;0;0;0;0;0;0,52;0,398;0,51
sit;0;0;0;0;0;0;0;0;0;0,561;0,23;0,368
