nwords;th_neigh;val_lang;c.i1_val_lang;c.i2_val_lang;aro_lang;c.i1_aro_lang;c.i2_aro_lang;dom_lang;c.i1_dom_lang;c.i2_dom_lang;val_fam;c.i1_val_fam;c.i2_val_fam;aro_fam;c.i1_aro_fam;c.i2_aro_fam;dom_fam;c.i1_dom_fam;c.i2_dom_fam;val_mean;c.i1_val_mean;c.i2_val_mean;aro_mean;c.i1_aro_mean;c.i2_aro_mean;dom_mean;c.i1_dom_mean;c.i2_dom_mean;left_out
314;1;0,694153747979472;0,632029661587471;0,747412752610519;0,467424197516939;0,376203597661336;0,549670259090667;0,546769573059366;0,464176919590318;0,619935902906998;0,699927461242172;0,638726052986358;0,752328035170438;0,475498239228162;0,3850810616554;0,556873947905417;0,550106962861653;0,467913273654005;0,622865889867143;0,690807486183823;0,628152886678497;0,744561338763972;0,472945301965345;0,382272279613978;0,554597530856315;0,531673989081271;0,447313388417259;0,606657535402261;2
310;1;0,673367689317369;0,607543320137299;0,730006008419086;0,500494875777304;0,412072568793821;0,579578154786052;0,51727736388519;0,430698729113922;0,594421777705847;0,680209576367393;0,615447153626312;0,73584878514726;0,51303185537208;0,425979842745009;0,590671709521213;0,514466487521061;0,427573907955763;0,591939298937462;0,680752244875423;0,616074609085617;0,736311854253425;0,47897576287001;0,388297077891543;0,560468030607866;0,516346219437249;0,429663355817336;0,593599582660325;6
314;1;0,697525258093434;0,635938834972323;0,750283697969674;0,461255182876229;0,3694319922845;0,544157986730728;0,518968477249123;0,433166184248812;0,595448999552548;0,715438982989756;0,656762449107145;0,765504489287219;0,459142474353378;0,367115153528144;0,542268546618096;0,520593613212035;0,43497336916954;0,596884322864228;0,722076296025106;0,664500708551643;0,771129837878875;0,416136442568297;0,320200763674135;0,503623723731988;0,508562621035564;0,421610984367021;0,586246940464564;2
312;1;0,601693311618328;0,525782818399637;0,668095704396313;0,383855236536581;0,284962433489057;0,474662494711712;0,475274984683738;0,384529411382371;0,55692268987884;0,603747036121501;0,528112633039819;0,669877616325754;0,391322493422325;0,293015907302928;0,481441617059245;0,488179648505629;0,398756266695443;0,568406811828618;0,588828394317519;0,511214288046196;0,656916116303289;0,383371572284241;0,284441280185363;0,474223030028088;0,505690102274332;0,418129888946691;0,583939890154714;4
316;1;0,663782939892408;0,597186348325766;0,721290517952561;0,388264015949696;0,290370250020406;0,478115125331287;0,516739133434601;0,430977862183122;0,593248813690628;0,676516237583804;0,611853409558242;0,732196436940013;0,396410236866521;0,299161978114272;0,485508265065403;0,517419817562417;0,431734084989953;0,593850589436025;0,674163306499458;0,609139793173382;0,730183327543137;0,381892634602608;0,283505498566127;0,47232386176;0,503183736687036;0,415943204884363;0,581246994551133;0
314;1;0,637284904762839;0,566564815081517;0,698685560185142;0,372526108320494;0,2731028578188;0,464075062035976;0,502101549828484;0,414450460033547;0,580523210407846;0,631215836672984;0,55963070248057;0,693451512659689;0,367242158771127;0,267428535477847;0,459258316491609;0,501782369337968;0,414097007247601;0,580240253944936;0,628322325564071;0,556328294240938;0,690953794497713;0,352869725885928;0,252029226255987;0,446129253395819;0,516019419219335;0,429888531420902;0,592843138198124;2
316;1;0,642540834479475;0,572816994591399;0,703033220051086;0,470517092557469;0,379906636776634;0,552184038142637;0,521765365587579;0,436564719492899;0,597690364805191;0,640286470348389;0,570237958827867;0,701090933398649;0,470008214929348;0,379347430026813;0,551729722908309;0,528082039229205;0,443595284614365;0,603265644547679;0,643792486983591;0,574249505298055;0,704111213566426;0,459385834790926;0,367689574493591;0,542235200373473;0,521948192126142;0,436768062408297;0,597851836083202;0
314;1;0,682913114030681;0,619019257825617;0,737826611640603;0,426726961967571;0,331710236527944;0,513172870878272;0,517234673197099;0,431238918489688;0,593917161888522;0,686008334733969;0,622598307000645;0,740468463060401;0,443683238395909;0,350196918861953;0,528417392481291;0,523031647437845;0,437685808030961;0,599036684141563;0,666244763776041;0,599790917964336;0,723570756844797;0,419361338556572;0,32370249184688;0,506533779165782;0,516027578488741;0,429897596695183;0,592850350152467;2
312;1;0,698133575464083;0,636430902663837;0,750958116777829;0,426042576438226;0,330645812451838;0,512821133887311;0,568897249752475;0,488731533899576;0,639536664544366;0,695970512202176;0,633921015865506;0,749117651926061;0,438965011707636;0,344729139159189;0,524441334071997;0,567048003614171;0,486650928887769;0,637920500122242;0,684481755781374;0,620612033204467;0,739328552616069;0,410707732950944;0,313988301525641;0,49899025200885;0,547376424257083;0,464574553430704;0,620689626544145;4
310;1;0,626750263307499;0,554035063636204;0,689974449808431;0,403675209914484;0,306040469530882;0,492906915685816;0,551259193489556;0,468640928814231;0,624317585908987;0,635801216856195;0,564377109649655;0,697777105781662;0,429336194832588;0,333909153670883;0,516051950439745;0,55451128919111;0,472288088430592;0,627167468653914;0,62955282803134;0,557235009047445;0,692392059359522;0,421378230301179;0,325248655992491;0,508887750652566;0,558603083895488;0,476880956702392;0,630750436449668;6
