Word;Valence_lang;Arousal_lang;Dominance_lang;Valence_fam;Arousal_fam;Dominance_fam;Valence_mean;Arousal_mean;Dominance_mean;Valence;Arousal;Dominance
inhabit;0;0;0;0;0;0;0;0;0;0,656;0,378;0,556
life;0;0;0;0;0;0;0;0;0;0,918;0,615;0,824
contest;0;0;0;0;0;0;0;0;0;0,667;0,698;0,717
combat;0;0;0;0;0;0;0;0;0;0,302;0,846;0,833
full;0;0;0;0;0;0;0;0;0;0,602;0,255;0,704
cut;0;0;0;0;0;0;0;0;0;0,49;0,49;0,393
bring down;0,49;0,49;0,393;0,49;0,49;0,393;0,49;0,49;0,393;NA;NA;NA
collide with;0,235;0,931;0,679;0,235;0,931;0,679;0,235;0,931;0,679;NA;NA;NA
fly;0;0;0;0;0;0;0;0;0;0,76;0,775;0,676
turn;0,489169902912621;0,479893203883495;0,400563106796117;0,480678571428571;0,485714285714286;0,401642857142857;0,455913043478261;0,491;0,399913043478261;NA;NA;NA
descend;0;0;0;0;0;0;0;0;0;0,385;0,535;0,231
afford;0;0;0;0;0;0;0;0;0;0,571;0,58;0,575
donate;0;0;0;0;0;0;0;0;0;0,774;0,462;0,577
harbour;0,667;0,517333333333333;0,494333333333333;0,667;0,517333333333333;0,494333333333333;0,667;0,517333333333333;0,494333333333333;NA;NA;NA
grasp;0,608428918414851;0,399865513901138;0,498572173146153;0,578579646015659;0,39263274336139;0,486544247785819;0,576590655491167;0,391332635970692;0,483851464419584;NA;NA;NA
hitherto;0;0;0;0;0;0;0;0;0;0,448;0,356;0,463
fourth;0;0;0;0;0;0;0;0;0;0,559;0,28;0,398
bear on;0,417;0,608;0,524;0,417;0,608;0,524;0,417;0,608;0,524;NA;NA;NA
impel;0,417;0,608;0,524;0,417;0,608;0,524;0,417;0,608;0,524;NA;NA;NA
attract;0;0;0;0;0;0;0;0;0;0,796;0,663;0,769
draw in;0,631428571428571;0,516428571428571;0,478714285714286;0,619333333333333;0,527666666666667;0,478333333333333;0,577;0,567;0,477;NA;NA;NA
nail;0;0;0;0;0;0;0;0;0;0,469;0,397;0,282
read;0;0;0;0;0;0;0;0;0;0,74;0,283;0,611
accurate;0;0;0;0;0;0;0;0;0;0,743;0,36;0,737
correct;0;0;0;0;0;0;0;0;0;0,857;0,306;0,723
look for;0,625435179142155;0,518566114772904;0,460811473787998;0,600403982653264;0,489115532801046;0,456127267480123;0,610848458106684;0,486204401142263;0,44954398097541;NA;NA;NA
double;0,549522206876499;0,341736061641346;0,460519662717162;0,534294117647059;0,348205882352941;0,446558823529412;0,534294117647059;0,348205882352941;0,446558823529412;NA;NA;NA
menstruation;0,567;0,427;0,593;0,567;0,427;0,593;0,567;0,427;0,593;NA;NA;NA
menses;0;0;0;0;0;0;0;0;0;0,163;0,686;0,331
menorrhea;0,567;0,427;0,593;0,567;0,427;0,593;0,567;0,427;0,593;NA;NA;NA
menorrhoea;0,567;0,427;0,593;0,567;0,427;0,593;0,567;0,427;0,593;NA;NA;NA
menstrual period;0,567;0,427;0,593;0,567;0,427;0,593;0,567;0,427;0,593;NA;NA;NA
monthlies;0,567;0,427;0,593;0,567;0,427;0,593;0,567;0,427;0,593;NA;NA;NA
hale;0;0;0;0;0;0;0;0;0;0,479;0,435;0,5
ruler;0;0;0;0;0;0;0;0;0;0,44;0,4;0,631
remember;0;0;0;0;0;0;0;0;0;0,776;0,422;0,454
recall;0;0;0;0;0;0;0;0;0;0,583;0,351;0,525
recollect;0;0;0;0;0;0;0;0;0;0,688;0,491;0,602
snare;0;0;0;0;0;0;0;0;0;0,229;0,85;0,466
dictator;0;0;0;0;0;0;0;0;0;0,073;0,76;0,862
power;0;0;0;0;0;0;0;0;0;0,719;0,67;0,953
